frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,3,1,0,1,1,1,0.9927,0.9893,0.9438,0.9219,775.0,282.0,655.5,279.5,729.0,281.0,687.5,278.5,119.5261,41.5752,0.3478,1,1,1,0
0,3,1,1,0,0,0,0.9038,0.8799,0.0899,0.0552,25.9375,354.0,92.75,348.5,7.5938,394.0,77.5,391.5,67.0385,69.9509,1.0434,0,0,0,0
0,3,1,2,0,0,0,0.8345,0.6191,0.252,0.0812,31.3125,351.5,90.5,347.0,29.4688,412.0,69.8125,388.0,59.3583,46.9427,0.7908,0,0,0,0
1,3,1,0,1,1,1,0.9927,0.9893,0.9438,0.9219,775.0,282.0,655.5,280.0,728.5,281.0,687.5,278.5,119.5167,41.0761,0.3437,1,1,2,0
1,3,1,1,0,0,0,0.9028,0.8765,0.0891,0.0522,26.7188,354.5,93.125,349.0,7.4375,394.0,76.125,392.0,66.6336,68.7166,1.0313,0,0,0,0
1,3,1,2,0,0,0,0.8403,0.6147,0.261,0.0781,31.75,351.5,90.625,347.0,29.0625,413.5,69.6875,389.5,59.0467,47.1846,0.7991,0,0,0,0
2,3,1,0,1,1,1,0.9927,0.9897,0.9419,0.9243,775.0,283.0,655.0,280.5,728.0,281.0,687.5,280.5,120.026,40.5031,0.3375,1,1,3,0
2,3,1,1,0,0,0,0.8916,0.8613,0.1076,0.0602,29.875,353.0,92.375,349.5,8.0938,393.0,76.5,393.0,62.5979,68.4062,1.0928,0,0,0,0
2,3,1,2,0,1,0,0.9219,0.7729,0.4124,0.1331,39.3438,350.0,86.625,347.5,32.3125,415.0,77.0,403.5,47.3473,46.1435,0.9746,0,0,0,0
3,2,1,0,1,1,1,0.9927,0.9897,0.9419,0.9243,775.5,283.0,655.5,281.5,728.0,280.5,687.5,280.0,120.0094,40.5031,0.3375,1,1,4,0
3,2,1,1,0,0,1,0.9067,0.8745,0.1099,0.0584,28.7656,351.0,91.125,346.0,11.625,388.0,75.8125,385.5,62.5595,64.2362,1.0268,0,0,0,0
4,2,1,0,1,1,1,0.9927,0.9897,0.9414,0.9253,775.0,283.0,655.5,281.5,728.0,280.0,688.0,280.0,119.5094,40.0,0.3347,1,1,5,0
4,2,1,1,0,0,1,0.9097,0.8789,0.1005,0.0545,28.5156,352.0,90.75,347.0,10.5,389.5,75.625,387.0,62.4349,65.173,1.0439,0,0,0,0
5,2,1,0,1,1,1,0.9927,0.9897,0.9424,0.9238,775.5,283.0,656.0,282.0,727.5,281.0,687.5,280.0,119.5042,40.0125,0.3348,1,1,6,1
5,2,1,1,0,0,1,0.9111,0.876,0.1076,0.0531,28.7969,353.0,92.8125,347.0,10.1875,388.0,76.875,385.0,64.2962,66.7549,1.0382,0,0,0,0
6,2,1,0,1,1,1,0.9927,0.9897,0.9429,0.9243,775.5,283.0,656.0,282.0,727.5,280.5,687.5,280.0,119.5042,40.0031,0.3347,1,1,7,1
6,2,1,1,0,0,1,0.9106,0.8774,0.1034,0.053,28.2344,353.0,92.8125,347.0,10.1562,388.5,77.625,385.5,64.8563,67.5354,1.0413,0,0,0,0
7,2,1,0,1,1,1,0.9927,0.9893,0.9414,0.9214,776.0,283.0,656.5,283.0,727.0,281.0,688.0,281.5,119.5,39.0032,0.3264,1,1,8,1
7,2,1,1,0,0,1,0.9126,0.8843,0.1016,0.0569,27.125,350.5,91.375,345.5,10.4688,388.5,78.625,386.5,64.4443,68.1856,1.0581,0,0,0,0
8,2,1,0,1,1,1,0.9927,0.9893,0.9414,0.9219,776.5,283.0,656.5,283.0,727.0,281.0,688.0,281.5,120.0,39.0032,0.325,1,1,9,1
8,2,1,1,0,0,1,0.9121,0.8833,0.103,0.0573,27.375,351.0,91.4375,346.0,10.625,389.0,78.25,386.5,64.2573,67.6712,1.0531,0,0,0,0
9,1,0,0,1,1,1,0.9927,0.9897,0.9424,0.9238,777.5,283.0,657.5,283.5,728.5,282.0,688.0,283.0,120.001,40.5123,0.3376,1,1,10,1
10,1,0,0,1,1,1,0.9927,0.9897,0.9492,0.9238,778.0,283.0,658.0,284.5,728.0,282.5,688.5,284.0,120.0094,39.5285,0.3294,1,1,11,1
11,2,1,0,1,1,1,0.9927,0.9897,0.9395,0.9224,778.0,283.5,658.0,284.0,729.0,283.0,689.0,286.5,120.001,40.1528,0.3346,1,1,12,1
11,2,1,3,0,0,1,0.9082,0.8848,0.1071,0.0674,24.7188,349.5,89.375,344.5,9.4688,387.0,79.1875,384.0,64.8493,69.7833,1.0761,0,0,0,0
12,2,1,0,1,1,1,0.9927,0.9897,0.9399,0.9224,778.0,283.5,657.5,284.0,729.0,283.0,689.0,286.0,120.501,40.1123,0.3329,1,1,13,1
12,2,1,3,0,0,1,0.9082,0.8862,0.1038,0.0671,24.6875,349.5,89.0,344.5,9.5625,387.0,79.3125,384.0,64.5066,69.8145,1.0823,0,0,0,0
13,1,0,0,1,1,1,0.9897,0.9897,0.9219,0.9263,778.5,285.5,658.0,286.5,730.5,283.0,689.5,288.0,120.5041,41.3038,0.3428,1,1,14,1
14,1,0,0,1,1,1,0.9932,0.9878,0.9429,0.916,779.5,286.0,658.0,284.5,726.5,284.0,690.0,283.5,121.5093,36.5034,0.3004,1,1,15,1
15,2,1,0,1,1,1,0.9922,0.9902,0.9448,0.9248,780.0,283.5,659.0,286.0,729.0,284.0,690.5,285.5,121.0258,38.5292,0.3184,1,1,16,1
15,2,1,4,0,0,1,0.9087,0.8867,0.0923,0.0587,24.4062,350.5,91.3125,345.5,8.375,390.5,80.5,387.5,67.0928,72.1874,1.0759,0,0,0,0
16,3,1,0,1,1,1,0.9893,0.9897,0.9194,0.9253,780.0,286.0,658.5,287.0,732.0,284.5,691.5,286.0,121.5041,40.5278,0.3336,1,1,17,1
16,3,1,4,0,1,0,0.9126,0.7998,0.3796,0.163,33.7812,348.5,88.0,344.0,30.5625,417.0,78.5,394.0,54.4052,53.1696,0.9773,0,0,0,0
16,3,1,5,0,0,0,0.9097,0.8862,0.092,0.0579,25.7188,350.0,92.0,345.0,9.7812,392.0,81.375,389.0,66.4696,71.6566,1.078,0,0,0,0
17,3,1,0,1,1,1,0.9893,0.9897,0.9194,0.9258,780.0,286.0,658.5,287.0,732.0,284.5,691.5,285.5,121.5041,40.5123,0.3334,1,1,18,1
17,3,1,4,0,1,0,0.9136,0.7983,0.3843,0.1619,34.0,349.0,88.0625,344.0,30.1875,418.5,78.5,395.0,54.2932,53.7247,0.9895,0,0,0,0
17,3,1,5,0,0,0,0.9097,0.8857,0.0917,0.057,25.5938,350.5,92.1875,345.0,9.2812,392.5,81.125,389.5,66.8205,71.9064,1.0761,0,0,0,0
18,3,1,0,1,1,1,0.9897,0.9897,0.9204,0.9253,781.0,286.5,660.0,287.0,733.0,286.0,693.0,286.0,121.001,40.0,0.3306,1,1,19,1
18,3,1,5,0,0,0,0.9053,0.8955,0.0912,0.0726,23.4375,350.0,92.4375,346.0,8.6562,392.5,83.375,389.5,69.1158,74.779,1.0819,1,0,0,0
18,3,1,4,0,1,0,0.9072,0.8071,0.3491,0.1646,35.375,348.0,87.3125,345.5,35.2188,410.5,79.3125,393.0,51.9976,47.4395,0.9123,0,0,0,0
19,3,1,0,1,1,1,0.9897,0.9897,0.9204,0.9253,781.0,286.5,660.0,287.0,733.0,285.5,693.0,286.0,121.001,40.0031,0.3306,1,1,20,1
19,3,1,5,0,0,0,0.9058,0.8955,0.092,0.0734,23.7812,350.0,92.25,346.5,8.4375,392.5,83.5,390.0,68.5581,75.1041,1.0955,1,0,0,0
19,3,1,4,0,1,0,0.9082,0.8081,0.353,0.1656,35.6875,348.0,87.0625,345.5,35.2812,410.0,79.4375,393.5,51.4358,47.1384,0.9165,0,0,0,0
20,2,1,0,1,1,1,0.9897,0.9897,0.9238,0.9258,782.0,286.5,660.5,287.5,734.5,287.0,694.0,285.5,121.5041,40.5278,0.3336,1,1,21,1
20,2,1,5,0,0,1,0.894,0.8833,0.0847,0.065,25.4062,352.5,93.25,347.5,9.7812,394.0,81.25,391.0,68.0277,71.5317,1.0515,0,0,0,0
21,2,1,0,1,1,1,0.9897,0.9897,0.9238,0.9253,782.0,286.5,660.5,287.5,734.5,287.0,694.0,285.5,121.5041,40.5278,0.3336,1,1,22,1
21,2,1,5,0,0,1,0.8975,0.8828,0.0854,0.0611,26.1562,353.0,93.375,347.5,9.4375,394.0,80.8125,391.5,67.4434,71.4188,1.0589,0,0,0,0
22,2,1,0,1,1,1,0.9897,0.9902,0.9219,0.9277,782.0,287.0,661.0,287.0,736.5,288.0,693.5,287.0,121.0,43.0116,0.3555,1,1,23,1
22,2,1,5,0,0,1,0.8862,0.8755,0.0925,0.0708,24.4062,351.0,93.4375,347.0,9.2812,392.5,80.75,390.0,69.147,71.5125,1.0342,0,0,0,0
23,2,1,0,1,1,1,0.9897,0.9902,0.9224,0.9272,782.0,287.0,661.0,287.0,736.5,288.0,693.5,287.0,121.0,43.0116,0.3555,1,1,24,1
23,2,1,5,0,0,1,0.8862,0.8755,0.0923,0.0708,24.375,351.0,93.375,347.0,9.3125,392.5,80.6875,390.5,69.1158,71.403,1.0331,0,0,0,0
24,2,1,0,1,1,1,0.9893,0.9902,0.9199,0.9277,782.0,287.0,661.0,288.0,735.5,287.5,694.5,286.0,121.0041,41.0274,0.3391,1,1,25,1
24,2,1,5,0,0,1,0.9004,0.8813,0.0916,0.06,24.4062,353.0,95.625,348.5,6.0312,390.5,79.8125,388.0,71.3608,73.8236,1.0345,0,0,0,0
25,2,1,0,1,1,1,0.9893,0.9897,0.9175,0.9253,783.0,286.5,662.0,287.5,736.0,288.0,695.0,286.0,121.0041,41.0488,0.3392,1,1,26,1
25,2,1,5,0,0,1,0.8975,0.8813,0.0815,0.0569,25.125,353.5,93.625,348.5,8.75,394.0,81.0625,391.5,68.6822,72.3557,1.0535,0,0,0,0
26,2,1,0,1,1,1,0.9893,0.9897,0.9175,0.9253,782.5,286.5,662.0,287.5,736.0,288.5,695.0,286.0,120.5041,41.0761,0.3409,1,1,27,1
26,2,1,5,0,0,1,0.8975,0.8813,0.0818,0.0575,25.0,353.5,93.5,348.5,8.7188,393.5,81.0,391.0,68.6822,72.3245,1.053,0,0,0,0
27,2,1,0,1,1,1,0.9897,0.9902,0.9219,0.9268,783.0,287.0,662.0,288.0,735.0,289.0,694.0,286.0,121.0041,41.1096,0.3397,1,1,28,1
27,2,1,5,0,0,1,0.9067,0.8774,0.113,0.0642,28.1875,350.0,92.125,347.0,7.7188,390.5,79.0,390.0,64.0078,71.283,1.1137,0,0,0,0
28,2,1,0,1,1,1,0.9897,0.9902,0.9214,0.9268,783.0,287.0,662.0,288.0,735.0,289.0,694.5,286.0,121.0041,40.611,0.3356,1,1,29,1
28,2,1,5,0,0,1,0.9067,0.8774,0.1132,0.0644,28.2188,350.0,92.0,347.0,7.7188,390.0,79.0,389.5,63.8518,71.283,1.1164,0,0,0,0
