frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,3,0,0,1,1,1,0.9912,0.9946,0.7759,0.8252,1102.0,344.5,911.0,352.0,1184.0,630.5,837.0,646.5,191.1472,347.3687,1.8173,0,0,0,0
0,3,0,1,1,1,1,0.9893,0.9951,0.8354,0.9194,311.5,289.5,167.25,281.5,331.0,520.0,123.75,528.0,144.4717,207.4043,1.4356,0,0,0,0
0,3,0,2,1,1,1,0.9907,0.9941,0.8833,0.9263,681.0,357.0,584.5,351.0,699.5,513.0,571.0,524.0,96.6863,128.97,1.3339,0,0,0,0
1,3,0,0,1,1,1,0.9883,0.9927,0.7979,0.8359,1102.0,343.0,906.5,352.0,1178.0,620.0,831.5,641.0,195.7071,347.1358,1.7738,0,0,0,0
1,3,0,1,1,1,1,0.9902,0.9951,0.8472,0.9189,311.0,289.5,167.0,281.0,337.5,520.5,124.875,531.0,144.2506,212.8841,1.4758,0,0,0,0
1,3,0,2,1,1,1,0.9902,0.9941,0.876,0.9243,684.0,357.0,587.5,351.0,698.0,513.5,574.5,525.5,96.6863,124.0816,1.2833,0,0,0,0
2,3,0,0,1,1,1,0.9907,0.9941,0.7856,0.8232,1099.0,343.0,909.0,351.5,1180.0,624.5,836.0,644.5,190.19,344.5809,1.8118,0,0,0,0
2,3,0,1,1,1,1,0.9902,0.9951,0.8472,0.9194,311.25,289.0,167.0,281.0,337.5,520.0,124.875,531.0,144.4717,212.9093,1.4737,0,0,0,0
2,3,0,2,1,1,1,0.9902,0.9941,0.8779,0.9233,683.5,357.0,587.5,350.5,698.0,513.0,574.5,525.0,96.2198,124.0816,1.2896,0,0,0,0
3,3,0,0,1,1,1,0.9912,0.9937,0.793,0.8203,1092.0,343.0,904.0,351.5,1176.0,622.0,835.0,644.0,188.1921,341.7089,1.8157,0,0,0,0
