frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,3,0,0,1,1,1,0.9881,0.9803,0.8911,0.8345,1197.2673,336.8097,987.4715,346.8175,1032.9574,497.3774,1169.6547,483.8912,210.0344,137.3609,0.654,1,0,0,0
0,3,0,1,1,1,1,0.9835,0.9831,0.9002,0.9044,222.3804,265.0018,43.6324,273.0809,88.9319,396.5333,203.6789,398.8765,178.9304,114.7709,0.6414,1,0,0,0
0,3,0,2,1,1,1,0.9803,0.9888,0.8178,0.86,863.835,367.4002,652.4442,328.1358,627.0365,525.0381,752.2304,516.2692,215.0064,125.5006,0.5837,1,0,0,0
1,3,0,0,1,1,1,0.9898,0.9806,0.8894,0.8135,1191.5328,335.9313,981.7671,346.814,1026.912,500.9395,1166.5056,484.9062,210.0479,140.5114,0.6689,1,0,0,0
1,3,0,1,1,1,1,0.9875,0.985,0.9161,0.8847,239.1274,266.67,52.5352,272.5754,88.6666,398.779,220.2388,398.1588,186.6856,131.5737,0.7048,1,0,0,0
1,3,0,2,1,1,1,0.9809,0.9885,0.8247,0.8607,858.5623,364.5894,648.6874,330.6151,626.817,529.9378,753.2719,515.8706,212.6069,127.2349,0.5985,1,0,0,0
2,3,0,0,1,1,1,0.9897,0.9808,0.8884,0.815,1191.5348,336.0108,981.4504,346.9393,1026.9943,500.5694,1166.574,484.8484,210.3684,140.4623,0.6677,1,0,0,0
2,3,0,1,1,1,1,0.9874,0.985,0.9158,0.885,239.1393,266.798,52.3913,272.7989,88.8445,398.8421,220.5847,397.9026,186.8444,131.7435,0.7051,1,0,0,0
2,3,0,2,1,1,1,0.9811,0.9885,0.8256,0.8606,858.449,364.3538,648.6017,330.318,626.7914,529.6237,753.3622,515.846,212.5896,127.3185,0.5989,1,0,0,0
3,3,0,0,1,1,1,0.9877,0.9863,0.859,0.8297,1184.8872,341.4977,976.6768,351.34,1020.7527,499.4686,1162.1201,490.8192,208.4429,141.6318,0.6795,1,0,0,0
3,3,0,2,1,1,1,0.984,0.9862,0.8816,0.858,854.1819,358.8326,632.4246,328.887,619.3426,533.6788,753.3834,515.8153,223.7701,135.2259,0.6043,1,0,0,0
3,3,0,1,1,1,1,0.9847,0.9869,0.9063,0.9046,251.6257,264.3759,68.0514,272.7294,96.174,399.2529,230.9738,399.817,183.7642,134.8009,0.7336,1,0,0,0
4,3,0,0,1,1,1,0.9875,0.9863,0.858,0.8313,1184.9856,341.0864,976.8253,351.6408,1020.8777,499.7222,1162.3931,490.9266,208.4277,141.7884,0.6803,1,0,0,0
4,3,0,2,1,1,1,0.9841,0.9861,0.8821,0.8576,854.1947,358.5465,632.6654,328.6067,618.1718,533.1308,753.2959,514.9716,223.5434,136.3389,0.6099,1,0,0,0
4,3,0,1,1,1,1,0.9846,0.9871,0.9053,0.9049,251.3674,264.2071,68.0173,272.7501,96.5342,399.358,231.7862,399.9365,183.549,135.2533,0.7369,1,0,0,0
5,3,0,0,1,1,1,0.9874,0.9865,0.8552,0.8319,1181.1096,340.7355,972.8309,350.324,1015.2969,499.2868,1162.2756,490.293,208.4993,147.2536,0.7063,1,0,0,0
5,3,0,2,1,1,1,0.9882,0.981,0.907,0.8411,832.6829,352.059,628.5136,329.5971,627.5529,546.6634,754.8465,512.9418,205.4012,131.6845,0.6411,1,0,0,0
5,3,0,1,1,1,1,0.982,0.9868,0.8936,0.9134,261.1948,263.8244,83.4288,268.2558,126.3116,391.6008,238.2893,401.1198,177.8213,112.3816,0.632,1,0,0,0
6,3,0,0,1,1,1,0.9875,0.9865,0.8552,0.8316,1181.0796,340.5498,972.7477,350.2488,1015.5436,499.1999,1162.605,490.0782,208.5576,147.344,0.7065,1,0,0,0
6,3,0,2,1,1,1,0.9881,0.9811,0.9065,0.8424,832.8054,352.1558,628.546,329.5716,628.2015,546.6836,754.4586,513.2522,205.5041,130.6082,0.6356,1,0,0,0
6,3,0,1,1,1,1,0.9821,0.9868,0.894,0.9132,261.2086,263.7578,83.5447,268.1842,125.5629,391.9829,238.1554,401.5369,177.719,112.9972,0.6358,1,0,0,0
