frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,1,0,0,0,1,1,0.856,0.9824,0.301,0.8169,567.5,339.5,540.0,348.5,579.0,517.0,544.5,526.0,28.9353,35.6546,1.2322,0,0,0,0
1,2,1,0,0,1,1,0.8428,0.98,0.2639,0.7969,559.5,347.5,538.0,353.0,573.0,527.5,545.0,525.5,22.1923,28.0713,1.2649,0,0,0,0
1,2,1,1,0,0,1,0.0595,0.094,0.0598,0.0679,1115.0,0.0,309.75,0.0,924.0,0.0,330.75,0.0,805.25,593.25,0.7367,1,0,0,0
2,2,1,0,0,1,1,0.8496,0.9795,0.3252,0.8208,564.0,341.5,539.0,347.5,579.5,508.5,545.5,525.5,25.7099,38.0132,1.4785,0,0,0,0
2,2,1,1,0,0,1,0.1021,0.1473,0.0363,0.0396,1100.0,0.0,318.0,0.0,949.0,0.0,338.5,0.0,782.0,610.5,0.7807,1,0,0,0
3,1,0,0,0,1,1,0.8521,0.981,0.2725,0.7998,562.0,347.0,537.0,353.5,591.5,527.0,545.0,526.0,25.8312,46.5108,1.8006,0,0,0,0
4,3,1,0,0,1,1,0.8472,0.9805,0.2688,0.8027,564.5,346.5,538.5,351.5,591.0,519.0,545.0,525.0,26.4764,46.3897,1.7521,0,0,0,0
4,3,1,2,0,0,1,0.0763,0.1212,0.0462,0.0601,1021.0,0.0,270.25,0.0,835.5,0.0,321.5,0.0,750.75,514.0,0.6846,1,0,0,0
4,3,1,3,0,0,1,0.0908,0.1349,0.0763,0.0977,1255.0,660.0,1264.0,661.5,1235.0,720.0,1240.0,720.0,9.1241,5.0,0.548,0,0,0,0
5,2,1,0,0,1,1,0.8296,0.9785,0.2352,0.7734,561.0,347.0,537.5,350.5,590.5,519.5,545.0,524.5,23.7592,45.7739,1.9266,0,0,0,0
5,2,1,2,0,0,1,0.0874,0.1132,0.0429,0.0446,1016.0,0.0,242.75,0.0,882.0,0.0,347.5,0.0,773.25,534.5,0.6912,1,0,0,0
