frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,3,0,0,1,1,1,0.9878,0.9854,0.8979,0.8647,1182.0,343.5,991.0,344.5,1112.0,430.0,1088.0,431.0,191.0026,24.0208,0.1258,1,1,1,0
0,3,0,1,1,1,1,0.9902,0.9922,0.9077,0.9189,700.0,352.5,583.5,357.0,736.0,515.0,551.0,537.5,116.5869,186.3632,1.5985,0,0,0,0
0,3,0,2,1,1,1,0.9917,0.9927,0.8804,0.8721,362.0,267.0,182.625,262.5,402.5,546.5,119.875,554.0,179.4314,282.7245,1.5757,0,0,0,0
1,3,0,0,1,1,1,0.9897,0.9834,0.9136,0.8467,1175.0,345.0,984.5,346.0,1113.0,430.0,1071.0,428.0,190.5026,42.0476,0.2207,1,1,2,0
1,3,0,1,1,1,1,0.9893,0.9927,0.9038,0.9238,694.5,351.0,581.5,353.5,738.0,515.0,552.0,538.0,113.0277,187.4166,1.6581,0,0,0,0
1,3,0,2,1,1,1,0.9917,0.9927,0.8726,0.8604,362.75,270.5,182.625,265.5,411.5,557.0,128.25,556.0,180.1944,283.2518,1.5719,0,0,0,0
2,4,1,0,1,1,1,0.9873,0.9844,0.9038,0.8726,1176.0,342.0,989.0,346.5,1121.0,430.0,1073.0,420.5,187.0541,48.9311,0.2616,1,1,3,0
2,4,1,1,1,1,1,0.9893,0.9922,0.9014,0.9229,702.0,353.0,586.0,352.0,735.5,514.5,552.5,528.5,116.0043,183.5347,1.5821,0,0,0,0
2,4,1,2,1,1,1,0.9888,0.9917,0.8716,0.8862,363.5,272.0,180.5,268.0,403.0,548.0,115.375,554.0,183.0437,287.6876,1.5717,0,0,0,0
2,4,1,3,0,0,1,0.1511,0.1304,0.0756,0.0559,1019.0,0.0,254.25,0.0,925.5,0.0,331.5,0.0,764.75,594.0,0.7767,1,0,0,0
3,3,0,0,1,1,1,0.9883,0.98,0.9121,0.8638,1174.0,340.0,999.0,345.0,1113.0,433.0,1073.0,425.0,175.0714,40.7922,0.233,1,1,4,0
3,3,0,2,1,1,1,0.9897,0.9922,0.8701,0.8848,362.25,273.0,174.625,270.0,394.0,556.0,105.75,554.0,187.649,288.2569,1.5361,0,0,0,0
3,3,0,1,1,1,1,0.9927,0.9907,0.9238,0.9141,702.0,353.0,595.0,354.0,740.0,519.5,548.5,549.0,107.0047,193.7589,1.8108,0,0,0,0
