frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,1,0,0,1,1,1,0.9873,0.9883,0.9165,0.9102,787.5,248.0,615.5,254.0,710.0,251.5,663.0,246.5,172.1046,47.2652,0.2746,1,1,1,0
1,1,0,0,1,1,1,0.9868,0.9888,0.9092,0.9116,785.5,249.5,615.5,256.5,711.5,253.0,663.5,250.0,170.1441,48.0937,0.2827,1,1,2,0
2,1,0,0,1,1,1,0.9863,0.9883,0.9043,0.9082,786.0,248.5,615.0,254.5,710.5,251.0,664.0,252.0,171.1052,46.5108,0.2718,1,1,3,0
3,1,0,0,1,1,1,0.9849,0.9897,0.8921,0.918,784.5,251.0,613.5,255.0,711.0,249.0,666.0,253.0,171.0468,45.1774,0.2641,1,1,4,0
4,1,0,0,1,1,1,0.9883,0.9893,0.9229,0.9097,784.0,249.0,611.0,258.0,718.0,256.5,668.0,258.5,173.2339,50.04,0.2889,1,1,5,0
5,1,0,0,1,1,1,0.9858,0.9888,0.9058,0.9146,783.5,250.0,612.0,254.0,714.5,257.5,664.5,257.5,171.5466,50.0,0.2915,1,1,6,1
6,1,0,0,1,1,1,0.9863,0.9888,0.9058,0.9141,784.0,250.0,613.5,254.5,712.0,257.5,664.5,263.0,170.5594,47.8174,0.2804,1,1,7,1
7,1,0,0,1,1,1,0.9863,0.9888,0.9072,0.9126,784.5,250.0,614.0,254.5,712.0,259.0,666.0,260.5,170.5594,46.0245,0.2698,1,1,8,1
8,1,0,0,1,1,1,0.9849,0.9888,0.8862,0.9199,785.5,252.0,612.0,255.5,714.5,256.5,668.5,263.5,173.5353,46.5296,0.2681,1,1,9,1
9,1,0,0,1,1,1,0.9858,0.9897,0.9028,0.9204,784.0,248.0,611.0,253.5,715.0,260.5,666.5,260.5,173.0874,48.5,0.2802,1,1,10,1
10,1,0,0,1,1,1,0.9868,0.9868,0.9019,0.9106,784.5,253.0,613.0,254.0,714.5,259.0,668.0,264.0,171.5029,46.768,0.2727,1,1,11,1
11,1,0,0,1,1,1,0.9858,0.9893,0.9067,0.9185,785.0,252.0,613.0,256.0,717.5,261.5,667.5,265.5,172.0465,50.1597,0.2915,1,1,12,1
12,1,0,0,1,1,1,0.9863,0.9888,0.9072,0.915,787.0,248.0,615.0,254.5,716.5,261.5,668.0,263.0,172.1228,48.5232,0.2819,1,1,13,1
13,1,0,0,1,1,1,0.9858,0.9893,0.9038,0.917,786.0,249.0,614.0,255.0,717.5,265.5,668.5,263.0,172.1046,49.0637,0.2851,1,1,14,1
14,1,0,0,1,1,1,0.9863,0.9897,0.9033,0.9165,787.0,249.5,613.0,255.5,716.5,261.0,671.5,256.5,174.1034,45.2244,0.2598,1,1,15,1
15,1,0,0,1,1,1,0.9858,0.9888,0.9087,0.9194,787.5,250.0,614.0,254.5,720.0,262.5,669.5,261.0,173.5583,50.5223,0.2911,1,1,16,1
16,1,0,0,1,1,1,0.9858,0.9888,0.9102,0.918,788.0,248.5,614.0,253.5,716.5,265.0,667.5,264.0,174.0718,49.0102,0.2816,1,1,17,1
17,1,0,0,1,1,1,0.9863,0.9858,0.9028,0.9077,789.5,251.0,616.5,253.5,717.0,261.0,667.5,263.0,173.0181,49.5404,0.2863,1,1,18,1
18,1,0,0,1,1,1,0.9858,0.9888,0.9038,0.9111,790.0,249.0,616.5,256.0,712.0,261.5,671.0,263.0,173.6412,41.0274,0.2363,1,1,19,1
19,1,0,0,1,1,1,0.9858,0.9888,0.9038,0.9141,791.0,250.0,616.5,254.0,716.0,260.0,672.5,259.5,174.5458,43.5029,0.2492,1,1,20,1
20,1,0,0,1,1,1,0.9854,0.9893,0.9014,0.918,791.0,248.5,615.0,254.0,717.5,260.5,673.0,259.5,176.0859,44.5112,0.2528,1,1,21,1
21,1,0,0,1,1,1,0.9873,0.9888,0.9155,0.9136,790.5,248.0,618.5,256.0,715.0,261.5,670.0,261.5,172.1859,45.0,0.2613,1,1,22,1
22,1,0,0,1,1,1,0.9858,0.9888,0.9082,0.9155,792.0,248.0,617.0,254.5,714.5,259.5,671.0,259.0,175.1207,43.5029,0.2484,1,1,23,1
23,1,0,0,1,1,1,0.9873,0.9888,0.9146,0.9141,793.0,248.0,617.5,255.5,713.0,263.0,668.5,261.5,175.6602,44.5253,0.2535,1,1,24,1
24,1,0,0,1,1,1,0.9863,0.9883,0.9102,0.9102,791.5,248.0,617.5,254.0,717.5,264.0,669.0,261.0,174.1034,48.5927,0.2791,1,1,25,1
25,1,0,0,1,1,1,0.9878,0.9878,0.9185,0.9058,794.0,249.0,619.5,255.5,711.5,260.0,670.5,261.0,174.621,41.0122,0.2349,1,1,26,1
26,1,0,0,1,1,1,0.9878,0.9878,0.918,0.9067,792.0,249.0,618.5,253.0,714.0,258.0,669.0,260.0,173.5461,45.0444,0.2596,1,1,27,1
27,1,0,0,1,1,1,0.9868,0.9873,0.9116,0.8994,793.0,251.5,618.0,254.0,712.5,257.5,672.0,259.0,175.0179,40.5278,0.2316,1,1,28,1
28,1,0,0,1,1,1,0.9873,0.9878,0.9111,0.9019,792.0,252.0,619.5,255.0,715.5,260.0,670.0,257.5,172.5261,45.5686,0.2641,1,1,29,1
29,1,0,0,1,1,1,0.9858,0.9888,0.9077,0.9141,792.0,250.0,618.0,253.0,715.0,262.0,667.0,261.0,174.0259,48.0104,0.2759,1,1,30,1
30,1,0,0,1,1,1,0.9854,0.9888,0.9087,0.9165,794.0,251.5,617.5,253.5,714.0,258.0,668.5,260.0,176.5113,45.5439,0.258,1,1,31,1
31,1,0,0,1,1,1,0.9873,0.9878,0.9175,0.9077,795.0,251.5,620.0,254.0,714.0,265.0,670.5,256.0,175.0179,44.4213,0.2538,1,1,32,1
32,1,0,0,1,1,1,0.9863,0.9883,0.9106,0.9092,795.0,250.5,618.5,254.5,714.0,265.0,671.5,257.0,176.5453,43.2464,0.245,1,1,33,1
33,1,0,0,1,1,1,0.9868,0.9873,0.9116,0.9028,794.5,250.5,618.5,252.0,712.0,262.5,668.5,263.5,176.0064,43.5115,0.2472,1,1,34,1
34,1,0,0,1,1,1,0.9878,0.9868,0.9204,0.9028,795.0,250.0,621.0,253.0,709.5,262.5,667.0,265.5,174.0259,42.6058,0.2448,1,1,35,1
35,1,0,0,1,1,1,0.9868,0.9873,0.9141,0.9067,792.0,251.0,619.5,254.0,710.5,260.0,671.5,258.5,172.5261,39.0288,0.2262,1,1,36,1
36,1,0,0,1,1,1,0.9878,0.9863,0.9189,0.8965,793.0,251.0,621.0,255.0,709.5,268.0,667.0,263.0,172.0465,42.7931,0.2487,1,1,37,1
37,1,0,0,1,1,1,0.9863,0.9873,0.9131,0.9058,792.0,251.0,618.5,254.0,710.5,261.0,669.5,258.0,173.5259,41.1096,0.2369,1,1,38,1
38,1,0,0,1,1,1,0.9868,0.9883,0.9062,0.9028,793.0,251.0,617.5,253.0,711.0,259.5,671.0,256.5,175.5114,40.1123,0.2285,1,1,39,1
39,1,0,0,1,1,1,0.9863,0.9878,0.9072,0.9028,793.0,251.0,617.0,253.0,710.0,260.0,669.5,262.0,176.0114,40.5494,0.2304,1,1,40,1
