frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,1,0,0,1,1,1,0.8843,0.9844,0.4417,0.8682,566.5,344.5,540.5,352.0,586.0,519.0,545.5,528.0,27.0601,41.488,1.5332,0,0,0,0
1,2,1,0,1,1,1,0.875,0.9849,0.5444,0.9092,567.5,343.0,540.5,354.0,585.0,515.0,549.5,527.0,29.1548,37.4733,1.2853,0,0,0,0
1,2,1,1,0,0,1,0.0842,0.1172,0.0873,0.1045,1260.0,664.0,1266.0,666.0,1233.0,720.0,1238.0,720.0,6.3246,5.0,0.7906,0,0,0,0
2,1,0,0,0,1,1,0.8735,0.9839,0.3582,0.8413,566.5,345.0,541.0,352.0,588.0,522.0,548.5,532.5,26.4433,40.8718,1.5456,0,0,0,0
3,1,0,0,1,1,1,0.8862,0.9844,0.4441,0.8657,567.0,346.0,539.5,353.0,584.0,520.5,550.0,529.0,28.3769,35.0464,1.235,0,0,0,0
4,2,1,0,0,1,1,0.8818,0.9849,0.3813,0.853,563.0,344.0,539.5,351.5,587.5,512.0,553.0,528.5,24.6678,38.2426,1.5503,0,0,0,0
4,2,1,2,0,0,1,0.0937,0.1307,0.083,0.0955,1256.0,658.5,1263.0,658.5,1228.0,720.0,1230.0,720.0,7.0,2.0,0.2857,0,0,0,0
5,2,1,0,0,1,1,0.8774,0.9844,0.3601,0.8447,564.0,344.5,539.0,351.5,588.5,519.0,552.0,529.0,25.9615,37.8451,1.4577,0,0,0,0
5,2,1,2,0,0,1,0.1242,0.1661,0.0986,0.1093,1255.0,658.5,1262.0,658.5,1228.0,720.0,1230.0,720.0,7.0,2.0,0.2857,0,0,0,0
6,2,1,0,0,1,1,0.8325,0.9785,0.2347,0.7676,560.0,346.0,540.5,349.5,584.5,523.5,554.0,535.0,19.8116,32.596,1.6453,0,0,0,0
6,2,1,2,0,0,1,0.1412,0.1666,0.0986,0.0955,1254.0,658.0,1261.0,658.0,1224.0,720.0,1225.0,720.0,7.0,1.0,0.1429,0,0,0,0
7,2,1,0,0,1,1,0.8608,0.9824,0.3286,0.8286,561.0,343.5,541.5,349.5,588.0,519.0,555.0,530.0,20.4022,34.7851,1.705,0,0,0,0
7,2,1,2,0,0,1,0.1128,0.1683,0.0834,0.1071,1251.0,659.0,1261.0,661.5,1228.0,720.0,1230.0,720.0,10.3078,2.0,0.194,0,0,0,0
8,2,1,0,0,1,1,0.855,0.9805,0.3369,0.8301,564.0,344.5,537.5,349.0,591.0,520.0,562.0,529.0,26.8794,30.3645,1.1297,0,0,0,0
8,2,1,2,0,0,1,0.1067,0.151,0.0689,0.0809,1251.0,661.5,1259.0,662.0,1225.0,720.0,1226.0,720.0,8.0156,1.0,0.1248,0,0,0,0
9,1,0,0,0,1,1,0.8623,0.9814,0.3433,0.8315,561.5,343.5,538.0,349.0,586.5,515.5,561.5,527.0,24.135,27.5182,1.1402,0,0,0,0
10,1,0,0,0,1,1,0.8857,0.9849,0.3694,0.8442,559.5,345.0,538.5,352.0,591.0,521.0,569.5,530.0,22.1359,23.3077,1.0529,0,0,0,0
11,1,0,0,0,1,1,0.873,0.9829,0.3564,0.8369,560.0,346.0,539.5,351.0,594.0,523.0,569.0,528.0,21.1009,25.4951,1.2082,0,0,0,0
12,1,0,0,1,1,1,0.8979,0.9863,0.501,0.8916,564.0,344.5,539.5,351.0,593.0,514.0,567.0,524.5,25.3476,28.0401,1.1062,0,0,0,0
13,1,0,0,0,1,1,0.8672,0.9829,0.3589,0.8457,563.5,343.5,538.5,352.0,591.5,517.0,569.5,526.5,26.4055,23.9635,0.9075,0,0,0,0
14,1,0,0,1,1,1,0.8843,0.9854,0.4011,0.8647,562.0,343.5,536.5,351.5,594.0,520.0,572.0,527.0,26.7255,23.0868,0.8639,0,0,0,0
15,1,0,0,0,1,1,0.8853,0.9854,0.3962,0.8628,565.0,345.0,539.0,350.5,593.0,521.0,563.0,527.0,26.5754,30.5941,1.1512,0,0,0,0
16,2,1,0,0,1,1,0.8828,0.9849,0.386,0.8545,564.5,344.5,538.5,351.0,591.0,519.5,565.5,527.5,26.8002,26.7255,0.9972,0,0,0,0
16,2,1,3,0,0,1,0.1049,0.1559,0.0587,0.0792,1251.0,656.5,1261.0,659.5,1218.0,720.0,1214.0,720.0,10.4403,4.0,0.3831,0,0,0,0
17,1,0,0,0,1,1,0.8833,0.9849,0.3682,0.8452,561.5,344.5,539.5,353.0,589.0,518.0,566.5,531.5,23.585,26.2393,1.1125,0,0,0,0
18,1,0,0,0,1,1,0.8843,0.9849,0.3774,0.8486,563.0,344.0,540.0,350.5,591.5,519.0,565.0,529.5,23.9008,28.5044,1.1926,0,0,0,0
19,2,1,0,0,1,1,0.8838,0.9854,0.3821,0.853,564.5,345.0,541.5,353.0,590.0,523.0,561.0,535.5,24.3516,31.5793,1.2968,0,0,0,0
19,2,1,4,0,0,1,0.152,0.1664,0.0851,0.0737,1250.0,661.5,1261.0,662.5,1225.0,720.0,1226.0,720.0,11.0454,1.0,0.0905,0,0,0,0
20,1,0,0,0,1,1,0.8838,0.9849,0.3718,0.8481,566.0,346.0,542.0,352.0,591.0,523.5,559.0,534.5,24.7386,33.8378,1.3678,0,0,0,0
21,1,0,0,0,1,1,0.8735,0.9829,0.3508,0.834,564.5,348.5,542.0,354.0,590.0,531.0,559.0,537.0,23.1625,31.5753,1.3632,0,0,0,0
22,2,1,0,0,1,1,0.8472,0.98,0.3149,0.8149,565.5,346.5,545.0,353.5,580.0,527.0,559.5,533.5,21.6622,21.5058,0.9928,0,0,0,0
22,2,1,5,0,0,1,0.2098,0.479,0.046,0.1653,1249.0,654.0,1260.0,659.0,1227.0,720.0,1233.0,720.0,12.083,6.0,0.4966,0,0,0,0
23,2,1,0,1,1,1,0.8784,0.9834,0.4182,0.8525,566.0,347.0,546.5,354.5,584.0,525.5,559.5,535.0,20.8926,26.2774,1.2577,0,0,0,0
23,2,1,5,0,0,1,0.1981,0.4617,0.0464,0.17,1249.0,653.0,1258.0,657.5,1226.0,720.0,1234.0,720.0,10.0623,8.0,0.795,0,0,0,0
24,1,0,0,0,1,1,0.875,0.98,0.3521,0.8174,567.0,347.0,545.5,352.0,587.5,529.0,565.5,535.5,22.0737,22.9401,1.0393,0,0,0,0
25,1,0,0,0,1,1,0.8599,0.9829,0.3403,0.8423,569.5,346.5,546.0,353.0,588.0,529.0,563.5,534.5,24.3824,25.1098,1.0298,0,0,0,0
26,1,0,0,0,1,1,0.8667,0.9839,0.3564,0.8525,567.0,346.5,549.5,350.5,585.0,525.0,571.0,529.5,17.9513,14.7054,0.8192,0,0,0,0
27,2,1,0,0,1,1,0.8608,0.9834,0.3191,0.8311,568.0,347.0,549.0,351.5,589.0,525.0,567.0,529.5,19.5256,22.4555,1.1501,0,0,0,0
27,2,1,6,0,0,1,0.223,0.4888,0.0461,0.1611,1248.0,657.0,1259.0,662.5,1231.0,720.0,1238.0,720.0,12.2984,7.0,0.5692,0,0,0,0
28,1,0,0,0,1,1,0.8853,0.981,0.3455,0.8076,561.5,346.0,553.0,351.5,585.0,523.0,575.5,530.0,10.1242,11.8004,1.1656,0,0,0,0
29,2,1,0,0,1,1,0.8779,0.9858,0.3271,0.8364,562.5,346.5,553.5,352.0,587.0,527.0,579.0,532.0,10.5475,9.434,0.8944,0,0,0,0
29,2,1,7,0,0,1,0.1196,0.1447,0.0836,0.0823,1253.0,669.0,1261.0,671.0,1228.0,720.0,1230.0,720.0,8.2462,2.0,0.2425,0,0,0,0
30,1,0,0,0,1,1,0.8716,0.9849,0.3108,0.8242,560.0,345.5,555.5,352.0,578.5,525.5,577.0,532.5,7.9057,7.1589,0.9055,0,0,0,0
31,1,0,0,1,1,1,0.8169,0.9824,0.4258,0.8882,569.0,347.0,552.5,355.0,584.0,517.0,574.0,526.5,18.3371,13.7931,0.7522,0,0,0,0
32,1,0,0,0,1,1,0.8901,0.9824,0.3525,0.8184,569.0,347.0,552.0,352.0,589.0,525.5,578.0,532.0,17.72,12.7769,0.721,0,0,0,0
33,2,1,0,1,1,1,0.8188,0.9839,0.417,0.8901,570.0,346.0,556.0,356.0,580.0,515.0,573.5,529.5,17.2047,15.8902,0.9236,0,0,0,0
33,2,1,8,0,0,1,0.1357,0.1664,0.0944,0.0937,1254.0,671.5,1260.0,674.5,1226.0,720.0,1229.0,720.0,6.7082,3.0,0.4472,0,0,0,0
