frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,3,0,0,1,1,1,0.9868,0.9824,0.8809,0.8506,1197.0,336.5,985.5,344.0,1035.0,499.0,1178.0,486.0,211.6329,143.5897,0.6785,1,0,0,0
0,3,0,1,1,1,1,0.9829,0.9888,0.8306,0.853,865.5,363.5,652.5,325.0,626.5,529.0,749.0,518.0,216.4515,122.9929,0.5682,1,0,0,0
0,3,0,2,1,1,1,0.9814,0.9883,0.8916,0.9189,228.125,261.0,40.6875,273.0,86.5625,396.0,202.0,399.5,187.8212,115.4905,0.6149,1,0,0,0
1,3,0,1,1,1,1,0.9824,0.9888,0.833,0.8604,860.0,362.5,649.5,329.5,624.0,530.0,751.5,517.0,213.071,128.161,0.6015,1,0,0,0
1,3,0,0,1,1,1,0.9893,0.9819,0.8838,0.8223,1192.0,335.0,981.0,345.5,1026.0,505.5,1162.0,488.5,211.2611,137.0584,0.6488,1,0,0,0
1,3,0,2,1,1,1,0.9868,0.9854,0.9165,0.895,240.0,265.5,51.9375,271.5,92.9375,397.5,223.5,396.0,188.1582,130.5711,0.6939,1,0,0,0
2,3,0,0,1,1,1,0.9873,0.9878,0.854,0.8389,1192.0,338.5,982.0,349.0,1025.0,496.0,1157.0,490.0,210.2623,132.1363,0.6284,1,0,0,0
2,3,0,2,1,1,1,0.9858,0.9834,0.9048,0.8911,233.0,267.5,54.125,270.0,95.0,393.0,215.125,398.0,178.8925,120.229,0.6721,1,0,0,0
2,3,0,1,1,1,1,0.9814,0.9888,0.8306,0.8633,856.0,366.0,650.0,332.0,627.5,531.0,747.5,520.5,208.787,120.4585,0.5769,1,0,0,0
3,3,0,0,1,1,1,0.9893,0.981,0.8862,0.8271,1184.0,338.0,977.5,346.5,1028.0,505.0,1160.0,484.5,206.6749,133.5824,0.6463,1,0,0,0
3,3,0,1,1,1,1,0.9839,0.9873,0.8579,0.8511,856.0,361.0,637.0,329.5,624.0,524.0,743.0,509.0,221.2538,119.9417,0.5421,1,0,0,0
3,3,0,2,1,1,1,0.9854,0.9814,0.9092,0.8818,251.75,264.0,66.1875,268.0,124.5625,406.0,211.125,399.0,185.6056,86.8451,0.4679,1,1,1,0
4,3,0,0,1,1,1,0.9893,0.9858,0.874,0.8291,1184.0,341.0,976.0,351.5,1015.0,503.0,1161.0,490.0,208.2649,146.5776,0.7038,1,0,0,0
4,3,0,1,1,1,1,0.9873,0.9824,0.8877,0.8306,848.0,358.0,635.0,323.0,627.5,527.5,749.0,508.0,215.8564,123.0549,0.5701,1,0,0,0
4,3,0,2,1,1,1,0.9839,0.9839,0.9004,0.8975,244.875,265.5,69.9375,268.5,105.0,397.5,228.5,400.0,174.9632,123.5253,0.706,1,0,0,0
5,3,0,0,1,1,1,0.9883,0.9863,0.8643,0.8306,1182.0,338.5,972.0,348.5,1022.5,503.0,1155.0,490.5,210.238,133.0883,0.633,1,0,0,0
5,3,0,1,1,1,1,0.9873,0.9878,0.8569,0.8315,839.0,356.5,629.5,332.5,619.0,538.0,741.0,514.0,210.8702,124.3382,0.5896,1,0,0,0
5,3,0,2,1,1,1,0.9819,0.9858,0.897,0.9116,259.75,265.0,86.375,267.0,131.5,388.0,243.0,397.0,173.3865,111.8626,0.6452,1,0,0,0
6,3,0,0,1,1,1,0.9883,0.9863,0.8628,0.8359,1182.0,340.5,970.0,349.0,1020.5,501.0,1160.0,492.0,212.1703,139.79,0.6589,1,0,0,0
6,3,0,1,1,1,1,0.9902,0.9805,0.8774,0.8052,837.0,358.0,628.0,329.0,638.0,551.5,758.0,509.5,211.0024,127.1377,0.6025,1,0,0,0
6,3,0,2,1,1,1,0.9844,0.9868,0.9058,0.9023,263.5,264.5,84.75,270.0,123.375,392.0,248.5,395.0,178.8346,125.161,0.6999,1,0,0,0
7,3,0,0,1,1,1,0.9888,0.9849,0.8687,0.8398,1178.0,341.0,974.0,346.5,1015.5,503.0,1164.0,488.0,204.0741,149.2557,0.7314,1,0,0,0
7,3,0,1,1,1,1,0.9897,0.9824,0.8853,0.8115,826.0,354.0,612.0,334.0,629.0,545.0,740.5,507.5,214.9325,117.6372,0.5473,1,0,0,0
