frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,3,0,0,1,1,1,0.9888,0.9937,0.7827,0.8374,1105.0,344.5,908.0,352.0,1184.0,627.0,833.0,645.0,197.1427,351.4612,1.7828,0,0,0,0
0,3,0,1,1,1,1,0.9912,0.9946,0.8892,0.9287,682.0,357.0,584.0,351.5,701.0,511.0,573.0,526.0,98.1542,128.8759,1.313,0,0,0,0
0,3,0,2,1,1,1,0.9883,0.9956,0.8408,0.9233,312.25,289.5,167.75,281.5,333.0,519.5,122.5625,523.5,144.7213,210.4755,1.4544,0,0,0,0
1,3,0,0,1,1,1,0.9917,0.9937,0.8018,0.8149,1099.0,342.0,909.5,350.5,1186.0,632.0,839.0,642.0,189.6905,347.1441,1.8301,0,0,0,0
1,3,0,2,1,1,1,0.9897,0.9956,0.8506,0.9214,312.25,287.5,167.25,279.5,337.75,519.5,125.1875,525.5,145.2205,212.6472,1.4643,0,0,0,0
1,3,0,1,1,1,1,0.9907,0.9941,0.8872,0.9292,684.0,356.0,587.5,350.5,699.0,508.5,574.5,523.0,96.6566,125.3415,1.2968,0,0,0,0
2,3,0,0,1,1,1,0.9912,0.9941,0.8003,0.8335,1098.0,340.5,908.5,350.5,1178.0,625.0,838.0,644.0,189.7637,340.5305,1.7945,0,0,0,0
2,3,0,2,1,1,1,0.9873,0.9951,0.8604,0.9414,314.25,287.0,168.625,282.0,338.0,511.0,122.5,530.0,145.7108,216.336,1.4847,0,0,0,0
2,3,0,1,1,1,1,0.9844,0.9927,0.9004,0.9502,685.0,354.0,591.0,350.5,698.5,512.0,577.5,525.5,94.0651,121.7508,1.2943,0,0,0,0
3,3,0,0,1,1,1,0.9917,0.9941,0.791,0.8242,1092.0,341.0,904.0,351.5,1174.0,622.0,833.5,647.5,188.293,341.4535,1.8134,0,0,0,0
3,3,0,2,1,1,1,0.9888,0.9946,0.8696,0.9331,313.25,289.5,167.375,282.5,345.75,514.0,120.375,534.0,146.0429,226.2607,1.5493,0,0,0,0
3,3,0,1,1,1,1,0.9868,0.9937,0.8862,0.9326,685.0,359.0,589.5,351.5,695.5,511.0,580.0,525.5,95.794,116.4066,1.2152,0,0,0,0
4,3,0,0,1,1,1,0.9888,0.9927,0.8047,0.8413,1091.0,346.0,894.5,353.0,1174.0,620.0,832.0,640.5,196.6246,342.6138,1.7425,0,0,0,0
4,3,0,2,1,1,1,0.9888,0.9946,0.8755,0.9341,312.25,287.0,166.75,280.5,351.75,511.0,121.0,531.0,145.6451,231.6151,1.5903,0,0,0,0
4,3,0,1,1,1,1,0.9883,0.9941,0.8691,0.9243,686.5,356.0,591.0,351.0,696.0,509.0,581.5,525.0,95.6308,115.6125,1.2089,0,0,0,0
5,3,0,0,1,1,1,0.9922,0.9932,0.8125,0.8096,1088.0,344.0,896.5,352.5,1174.0,623.0,832.0,645.0,191.6885,342.7069,1.7878,0,0,0,0
5,3,0,2,1,1,1,0.9917,0.9946,0.8784,0.9102,310.5,285.5,165.75,279.0,352.5,517.5,122.75,531.0,144.8959,230.1463,1.5884,0,0,0,0
