frame,raw_num_people,anomaly,track_id,conf_ok,boundary_ok,overlap_ok,conf_ls,conf_rs,conf_lw,conf_rw,ls_x,ls_y,rs_x,rs_y,lw_x,lw_y,rw_x,rw_y,shoulder_dist,wrist_dist,ratio,frontal,hands_now,consecutive_frames,confirmed
0,3,0,0,1,1,1,0.9878,0.9858,0.8984,0.8687,1182.0,351.0,990.5,352.5,1119.0,433.5,1073.0,430.5,191.5059,46.0977,0.2407,1,1,1,0
0,3,0,1,1,1,1,0.9922,0.9941,0.894,0.9199,697.0,350.0,580.5,352.5,740.5,519.5,553.0,537.0,116.5268,188.3149,1.6161,0,0,0,0
0,3,0,2,1,1,1,0.9844,0.9937,0.8623,0.917,364.25,267.5,178.0,265.5,409.0,554.0,129.5,566.5,186.2607,279.7794,1.5021,0,0,0,0
1,3,0,0,1,1,1,0.9883,0.9854,0.9023,0.8618,1182.0,350.0,990.0,353.0,1114.0,428.5,1080.0,429.5,192.0234,34.0147,0.1771,1,1,2,0
1,3,0,1,1,1,1,0.9927,0.9937,0.9038,0.9155,698.5,349.5,581.0,353.5,739.0,519.5,549.5,536.0,117.5681,190.217,1.6179,0,0,0,0
1,3,0,2,1,1,1,0.9932,0.9927,0.874,0.8774,364.0,267.5,179.75,262.5,409.5,559.0,125.625,565.0,184.3178,283.9384,1.5405,0,0,0,0
2,3,0,0,1,1,1,0.9878,0.9863,0.8979,0.8711,1179.0,347.5,989.0,352.5,1116.0,428.0,1071.0,427.0,190.0658,45.0111,0.2368,1,1,3,0
2,3,0,1,1,1,1,0.9932,0.9937,0.9058,0.918,700.0,352.0,582.5,353.0,739.5,520.0,554.0,536.0,117.5043,186.1887,1.5845,0,0,0,0
2,3,0,2,1,1,1,0.9912,0.9932,0.8682,0.873,362.5,269.0,178.75,263.5,400.25,557.0,119.0625,557.5,183.8323,281.1879,1.5296,0,0,0,0
3,3,0,0,1,1,1,0.9883,0.9849,0.9058,0.8682,1174.0,346.0,985.5,351.0,1119.0,429.5,1064.0,425.0,188.5663,55.1838,0.2926,1,1,4,0
3,3,0,2,1,1,1,0.9902,0.9941,0.8413,0.8901,363.25,269.0,175.625,263.0,395.0,561.5,112.5,556.0,187.7209,282.5535,1.5052,0,0,0,0
3,3,0,1,1,1,1,0.9922,0.9912,0.9165,0.9175,701.0,353.5,591.0,354.0,739.0,524.0,553.0,543.0,110.0011,186.9679,1.6997,0,0,0,0
4,3,0,0,1,1,1,0.9878,0.9854,0.9048,0.8765,1174.0,347.0,984.5,352.5,1118.0,429.5,1070.0,421.0,189.5798,48.7468,0.2571,1,1,5,0
4,3,0,1,1,1,1,0.9922,0.9917,0.9141,0.9219,700.5,353.5,590.5,356.0,739.0,524.5,550.5,544.0,110.0284,189.5059,1.7223,0,0,0,0
4,3,0,2,1,1,1,0.9907,0.9937,0.8574,0.8882,363.5,266.5,176.625,261.5,396.5,560.5,112.875,553.0,186.9419,283.7241,1.5177,0,0,0,0
5,3,0,0,1,1,1,0.9883,0.9849,0.9058,0.8706,1172.0,347.5,983.0,351.5,1117.0,426.0,1059.0,423.5,189.0423,58.0539,0.3071,1,1,6,1
5,3,0,1,1,1,1,0.9927,0.9932,0.9023,0.9106,704.0,352.0,588.5,353.5,740.5,518.5,555.5,538.5,115.5097,186.0779,1.6109,0,0,0,0
5,3,0,2,1,1,1,0.9907,0.9941,0.8467,0.8892,361.25,268.0,176.625,261.5,394.25,560.0,103.75,548.5,184.7394,290.7275,1.5737,0,0,0,0
6,3,0,0,1,1,1,0.9888,0.9834,0.9141,0.8652,1171.0,347.5,983.5,352.0,1116.0,428.0,1056.0,427.5,187.554,60.0021,0.3199,1,1,7,1
6,3,0,1,1,1,1,0.9888,0.9932,0.8994,0.9268,704.0,352.0,588.5,353.5,741.0,520.0,559.0,539.0,115.5097,182.9891,1.5842,0,0,0,0
6,3,0,2,1,1,1,0.9907,0.9941,0.8467,0.8882,360.75,268.5,177.0,262.0,394.0,563.5,105.625,548.5,183.8649,288.7649,1.5705,0,0,0,0
7,3,0,0,1,1,1,0.9888,0.9844,0.9097,0.8672,1168.0,346.0,979.0,353.0,1115.0,437.0,1064.0,429.0,189.1296,51.6236,0.273,1,1,8,1
7,3,0,1,1,1,1,0.9922,0.9912,0.9141,0.915,704.5,354.0,593.5,357.0,741.0,523.5,560.5,547.5,111.0405,182.0886,1.6398,0,0,0,0
7,3,0,2,1,1,1,0.9932,0.9937,0.8589,0.8721,360.25,267.5,175.0,262.0,389.75,564.5,98.0,559.5,185.3316,291.7928,1.5744,0,0,0,0
8,3,0,1,1,1,1,0.9922,0.9917,0.9126,0.9194,704.0,353.5,594.0,356.5,742.5,522.5,559.5,544.0,110.0409,184.2586,1.6745,0,0,0,0
8,3,0,0,1,1,1,0.9888,0.9839,0.9126,0.8701,1170.0,347.0,977.5,354.0,1120.0,439.5,1056.0,430.0,192.6272,64.7012,0.3359,1,1,9,1
8,3,0,2,1,1,1,0.9912,0.9946,0.8604,0.8882,358.5,268.0,175.0,262.5,391.5,562.0,97.1875,552.0,183.5824,294.4823,1.6041,0,0,0,0
9,3,0,1,1,1,1,0.9922,0.9932,0.897,0.9072,708.0,354.5,587.5,355.5,738.5,523.5,563.5,537.5,120.5041,175.5591,1.4569,0,0,0,0
9,3,0,2,1,1,1,0.9927,0.9937,0.8555,0.8799,357.0,267.0,177.5,263.0,387.75,559.0,91.75,561.0,179.5446,296.0068,1.6487,0,0,0,0
9,3,0,0,1,1,1,0.9888,0.9839,0.9185,0.8643,1170.0,343.0,976.5,354.0,1113.0,439.0,1054.0,430.0,193.8124,59.6825,0.3079,1,1,10,1
10,3,0,0,1,1,1,0.9902,0.9805,0.9155,0.8545,1169.0,343.5,978.0,349.0,1109.0,440.5,1055.0,435.5,191.0792,54.231,0.2838,1,1,11,1
10,3,0,1,1,1,1,0.9932,0.9932,0.9077,0.9102,708.0,353.5,588.5,355.0,741.0,523.0,561.5,538.0,119.5094,180.1257,1.5072,0,0,0,0
10,3,0,2,1,1,1,0.9907,0.9941,0.8457,0.8735,357.5,268.0,174.875,263.5,392.0,562.5,85.8125,559.0,182.6804,306.2075,1.6762,0,0,0,0
11,3,0,1,1,1,1,0.9927,0.9932,0.9038,0.9092,708.0,352.5,591.0,354.0,739.0,516.0,566.0,536.5,117.0096,174.2104,1.4889,0,0,0,0
11,3,0,0,1,1,1,0.9893,0.9824,0.9165,0.8584,1161.0,343.0,975.0,352.5,1109.0,440.0,1045.0,435.0,186.2424,64.195,0.3447,1,1,12,1
11,3,0,2,1,1,1,0.9902,0.9951,0.8433,0.895,358.75,269.0,174.75,264.0,390.0,564.0,71.875,551.0,184.0679,318.3905,1.7297,0,0,0,0
12,3,0,2,1,1,1,0.9897,0.9951,0.8398,0.9009,356.5,266.0,175.5,262.0,393.5,564.0,72.125,551.0,181.0442,321.6378,1.7766,0,0,0,0
12,3,0,1,1,1,1,0.9927,0.9912,0.917,0.9155,706.5,355.5,596.0,357.0,740.5,525.0,565.0,543.0,110.5102,176.4207,1.5964,0,0,0,0
12,3,0,0,1,1,1,0.9888,0.9829,0.9131,0.8599,1163.0,343.5,975.5,352.0,1107.0,440.0,1048.0,435.0,187.6926,59.2115,0.3155,1,1,13,1
13,3,0,2,1,1,1,0.9893,0.9951,0.8247,0.897,358.5,267.5,174.25,263.0,393.5,568.0,61.25,544.0,184.3049,333.1157,1.8074,0,0,0,0
13,3,0,0,1,1,1,0.9902,0.9844,0.9121,0.8745,1160.0,345.0,975.0,349.0,1104.0,440.0,1051.0,436.0,185.0432,53.1507,0.2872,1,1,14,1
13,3,0,1,1,1,1,0.9927,0.9917,0.9185,0.9204,707.0,355.5,597.5,358.0,742.5,523.5,570.5,541.5,109.5285,172.9393,1.5789,0,0,0,0
14,3,0,2,1,1,1,0.9917,0.9946,0.8301,0.894,357.75,268.5,176.875,263.5,390.5,564.0,71.0,548.5,180.9441,319.8758,1.7678,0,0,0,0
14,3,0,0,1,1,1,0.9897,0.9805,0.9165,0.8667,1163.0,340.5,976.5,347.5,1104.0,438.5,1048.0,435.0,186.6313,56.1093,0.3006,1,1,15,1
14,3,0,1,1,1,1,0.9927,0.9932,0.9028,0.9126,709.0,353.5,591.0,355.5,743.5,522.5,572.0,539.5,118.0169,172.3405,1.4603,0,0,0,0
15,3,0,0,1,1,1,0.9907,0.9795,0.9204,0.853,1162.0,343.0,974.5,350.5,1103.0,439.5,1049.0,437.5,187.6499,54.037,0.288,1,1,16,1
15,3,0,1,1,1,1,0.9922,0.9907,0.915,0.9121,708.0,355.5,597.0,357.0,746.0,524.0,574.5,542.5,111.0101,172.4949,1.5539,0,0,0,0
15,3,0,2,1,1,1,0.9844,0.9951,0.8057,0.9209,361.0,270.0,176.0,266.0,396.5,563.0,53.625,541.5,185.0432,343.5484,1.8566,0,0,0,0
16,3,0,1,1,1,1,0.9912,0.9927,0.9092,0.9238,710.0,355.0,596.0,357.0,745.0,528.5,574.0,540.5,114.0175,171.4205,1.5035,0,0,0,0
16,3,0,0,1,1,1,0.9907,0.98,0.9204,0.8555,1160.0,341.5,971.0,350.0,1103.0,438.5,1047.0,432.0,189.191,56.376,0.298,1,1,17,1
16,3,0,2,1,1,1,0.9917,0.9956,0.8208,0.9019,359.5,269.0,179.0,264.5,395.75,570.0,57.75,546.5,180.5561,338.816,1.8765,0,0,0,0
17,3,0,0,1,1,1,0.9893,0.9795,0.9229,0.8574,1159.0,341.0,971.5,351.0,1107.0,438.0,1051.0,432.0,187.7665,56.3205,0.2999,1,1,18,1
17,3,0,2,1,1,1,0.9917,0.9951,0.8247,0.9004,359.0,268.0,179.0,263.0,396.0,567.0,62.0,548.0,180.0694,334.54,1.8578,0,0,0,0
17,3,0,1,1,1,1,0.9912,0.9922,0.9111,0.9204,709.5,355.5,595.5,356.0,745.5,529.0,574.0,541.5,114.0011,171.9549,1.5084,0,0,0,0
18,3,0,2,1,1,1,0.9897,0.9956,0.8271,0.9048,360.5,269.0,177.125,263.0,403.25,568.0,57.375,537.0,183.4731,347.2615,1.8927,0,0,0,0
18,3,0,0,1,1,1,0.9907,0.979,0.9209,0.8491,1158.0,341.0,971.0,349.5,1101.0,440.0,1043.0,433.0,187.1931,58.4209,0.3121,1,1,19,1
18,3,0,1,1,1,1,0.9922,0.9912,0.915,0.916,710.0,354.5,599.0,357.5,746.5,531.0,573.0,544.5,111.0405,174.0244,1.5672,0,0,0,0
19,3,0,0,1,1,1,0.9893,0.9824,0.9238,0.8589,1159.0,341.5,968.0,353.0,1106.0,438.5,1042.0,433.0,191.3459,64.2359,0.3357,1,1,20,1
19,3,0,2,1,1,1,0.9922,0.9946,0.835,0.8955,358.75,269.5,180.0,263.0,398.0,568.5,65.75,546.0,178.8681,333.011,1.8618,0,0,0,0
19,3,0,1,1,1,1,0.9902,0.9922,0.9028,0.9214,711.0,355.5,595.0,357.5,747.5,529.5,576.0,542.0,116.0172,171.9549,1.4821,0,0,0,0
20,3,0,2,1,1,1,0.9917,0.9951,0.8228,0.895,361.0,269.0,180.25,263.5,401.5,566.5,69.75,549.0,180.8337,332.2112,1.8371,0,0,0,0
20,3,0,0,1,1,1,0.9893,0.9824,0.9243,0.8574,1158.0,341.5,966.0,351.0,1106.0,433.5,1048.0,432.5,192.2349,58.0086,0.3018,1,1,21,1
20,3,0,1,1,1,1,0.9902,0.9927,0.8989,0.9194,711.0,354.5,596.0,356.5,747.0,530.5,574.0,541.5,115.0174,173.3494,1.5072,0,0,0,0
21,3,0,1,1,1,1,0.9907,0.9932,0.9033,0.9243,711.5,355.5,596.0,356.5,748.0,532.0,575.5,540.0,115.5043,172.6854,1.4951,0,0,0,0
21,3,0,0,1,1,1,0.9893,0.9819,0.915,0.8511,1154.0,343.5,966.5,352.5,1101.0,440.0,1057.0,435.0,187.7159,44.2832,0.2359,1,1,22,1
21,3,0,2,1,1,1,0.9902,0.9946,0.8438,0.8931,361.0,269.0,178.0,262.5,403.0,560.0,64.0,539.0,183.1154,339.6498,1.8548,0,0,0,0
22,3,0,0,1,1,1,0.9902,0.979,0.9165,0.8491,1158.0,342.5,970.0,349.0,1100.0,438.5,1055.0,433.0,188.1123,45.3349,0.241,1,1,23,1
22,3,0,2,1,1,1,0.9922,0.9951,0.8267,0.8901,362.0,269.0,178.875,264.0,401.75,569.0,78.0,549.5,183.1932,324.3367,1.7705,0,0,0,0
22,3,0,1,1,1,1,0.9907,0.9922,0.9072,0.9189,712.5,355.5,598.5,356.0,749.0,529.5,574.0,538.0,114.0011,175.2063,1.5369,0,0,0,0
