model,arch,tier,quant,keypoint,group,mean_OKS,n_images
yolov8n-pose,v8,n,full,nose,head,0.9133155544750688,6500
yolov8n-pose,v8,n,full,left_eye,head,0.9023259318647385,6500
yolov8n-pose,v8,n,full,right_eye,head,0.9071518493238512,6500
yolov8n-pose,v8,n,full,left_ear,head,0.9325205935398233,6500
yolov8n-pose,v8,n,full,right_ear,head,0.9282567849532389,6500
yolov8n-pose,v8,n,full,left_shoulder,trunk,0.988131933219471,6500
yolov8n-pose,v8,n,full,right_shoulder,trunk,0.9871837884552545,6500
yolov8n-pose,v8,n,full,left_hip,trunk,0.9932709327881692,6500
yolov8n-pose,v8,n,full,right_hip,trunk,0.9929941406155182,6500
yolov8n-pose,v8,n,full,left_elbow,mid-limb,0.9756933345153099,6500
yolov8n-pose,v8,n,full,right_elbow,mid-limb,0.9790194711651087,6500
yolov8n-pose,v8,n,full,left_knee,mid-limb,0.9850823046789873,6500
yolov8n-pose,v8,n,full,right_knee,mid-limb,0.9840407979011992,6500
yolov8n-pose,v8,n,full,left_wrist,extremity,0.956352246876545,6500
yolov8n-pose,v8,n,full,right_wrist,extremity,0.942111504125414,6500
yolov8n-pose,v8,n,full,left_ankle,extremity,0.9784953539223736,6500
yolov8n-pose,v8,n,full,right_ankle,extremity,0.97351817419128,6500
yolov8n-pose,v8,n,mixed,nose,head,0.9754740897228876,6500
yolov8n-pose,v8,n,mixed,left_eye,head,0.9764856249790097,6500
yolov8n-pose,v8,n,mixed,right_eye,head,0.9787977500078496,6500
yolov8n-pose,v8,n,mixed,left_ear,head,0.9879697119718499,6500
yolov8n-pose,v8,n,mixed,right_ear,head,0.9893424467622399,6500
yolov8n-pose,v8,n,mixed,left_shoulder,trunk,0.9967774589009046,6500
yolov8n-pose,v8,n,mixed,right_shoulder,trunk,0.9964798594361574,6500
yolov8n-pose,v8,n,mixed,left_hip,trunk,0.9971150374762293,6500
yolov8n-pose,v8,n,mixed,right_hip,trunk,0.9972481595195404,6500
yolov8n-pose,v8,n,mixed,left_elbow,mid-limb,0.9923857984556629,6500
yolov8n-pose,v8,n,mixed,right_elbow,mid-limb,0.99401571844524,6500
yolov8n-pose,v8,n,mixed,left_knee,mid-limb,0.9954912973888868,6500
yolov8n-pose,v8,n,mixed,right_knee,mid-limb,0.9948366832635857,6500
yolov8n-pose,v8,n,mixed,left_wrist,extremity,0.9885353299282713,6500
yolov8n-pose,v8,n,mixed,right_wrist,extremity,0.9823450804587663,6500
yolov8n-pose,v8,n,mixed,left_ankle,extremity,0.9922733861417515,6500
yolov8n-pose,v8,n,mixed,right_ankle,extremity,0.9913361503103577,6500
yolov8s-pose,v8,s,full,nose,head,0.8781420768637085,6496
yolov8s-pose,v8,s,full,left_eye,head,0.8746014296883532,6496
yolov8s-pose,v8,s,full,right_eye,head,0.8743983452366813,6496
yolov8s-pose,v8,s,full,left_ear,head,0.9120219660359229,6496
yolov8s-pose,v8,s,full,right_ear,head,0.90472312231823,6496
yolov8s-pose,v8,s,full,left_shoulder,trunk,0.9817465727021218,6496
yolov8s-pose,v8,s,full,right_shoulder,trunk,0.9862341960110137,6496
yolov8s-pose,v8,s,full,left_hip,trunk,0.9917540453484441,6496
yolov8s-pose,v8,s,full,right_hip,trunk,0.9912684678559821,6496
yolov8s-pose,v8,s,full,left_elbow,mid-limb,0.9759492935881343,6496
yolov8s-pose,v8,s,full,right_elbow,mid-limb,0.9775131794807776,6496
yolov8s-pose,v8,s,full,left_knee,mid-limb,0.97422413315829,6496
yolov8s-pose,v8,s,full,right_knee,mid-limb,0.9822690214794952,6496
yolov8s-pose,v8,s,full,left_wrist,extremity,0.9569747411758123,6496
yolov8s-pose,v8,s,full,right_wrist,extremity,0.9547771212539812,6496
yolov8s-pose,v8,s,full,left_ankle,extremity,0.9757263191464998,6496
yolov8s-pose,v8,s,full,right_ankle,extremity,0.9821845220749975,6496
yolov8s-pose,v8,s,mixed,nose,head,0.9866324134274205,6500
yolov8s-pose,v8,s,mixed,left_eye,head,0.9846044107193889,6500
yolov8s-pose,v8,s,mixed,right_eye,head,0.9855872164424374,6500
yolov8s-pose,v8,s,mixed,left_ear,head,0.988296250982294,6500
yolov8s-pose,v8,s,mixed,right_ear,head,0.9873929100789427,6500
yolov8s-pose,v8,s,mixed,left_shoulder,trunk,0.9963201717104264,6500
yolov8s-pose,v8,s,mixed,right_shoulder,trunk,0.9966414860189219,6500
yolov8s-pose,v8,s,mixed,left_hip,trunk,0.9978135578391865,6500
yolov8s-pose,v8,s,mixed,right_hip,trunk,0.9978096949033161,6500
yolov8s-pose,v8,s,mixed,left_elbow,mid-limb,0.9950006404599778,6500
yolov8s-pose,v8,s,mixed,right_elbow,mid-limb,0.9933916688431115,6500
yolov8s-pose,v8,s,mixed,left_knee,mid-limb,0.9956485315142908,6500
yolov8s-pose,v8,s,mixed,right_knee,mid-limb,0.996217559855697,6500
yolov8s-pose,v8,s,mixed,left_wrist,extremity,0.9932145876509588,6500
yolov8s-pose,v8,s,mixed,right_wrist,extremity,0.9907842839976515,6500
yolov8s-pose,v8,s,mixed,left_ankle,extremity,0.9946147313303638,6500
yolov8s-pose,v8,s,mixed,right_ankle,extremity,0.9951474264793766,6500
yolov8m-pose,v8,m,full,nose,head,0.9121784573998916,6500
yolov8m-pose,v8,m,full,left_eye,head,0.9019544933390575,6500
yolov8m-pose,v8,m,full,right_eye,head,0.8931387397453119,6500
yolov8m-pose,v8,m,full,left_ear,head,0.9423312803038507,6500
yolov8m-pose,v8,m,full,right_ear,head,0.9389435379094667,6500
yolov8m-pose,v8,m,full,left_shoulder,trunk,0.9851679539943757,6500
yolov8m-pose,v8,m,full,right_shoulder,trunk,0.9869499922832944,6500
yolov8m-pose,v8,m,full,left_hip,trunk,0.9920031814577478,6500
yolov8m-pose,v8,m,full,right_hip,trunk,0.9925260985560116,6500
yolov8m-pose,v8,m,full,left_elbow,mid-limb,0.9744376235467651,6500
yolov8m-pose,v8,m,full,right_elbow,mid-limb,0.9798954843040976,6500
yolov8m-pose,v8,m,full,left_knee,mid-limb,0.9853718504224934,6500
yolov8m-pose,v8,m,full,right_knee,mid-limb,0.9872202800499952,6500
yolov8m-pose,v8,m,full,left_wrist,extremity,0.9612985899041386,6500
yolov8m-pose,v8,m,full,right_wrist,extremity,0.9573903134508197,6500
yolov8m-pose,v8,m,full,left_ankle,extremity,0.9791642277212683,6500
yolov8m-pose,v8,m,full,right_ankle,extremity,0.9775646962513921,6500
yolov8m-pose,v8,m,mixed,nose,head,0.9903483939181366,6500
yolov8m-pose,v8,m,mixed,left_eye,head,0.9904143821184588,6500
yolov8m-pose,v8,m,mixed,right_eye,head,0.9905920099892835,6500
yolov8m-pose,v8,m,mixed,left_ear,head,0.994273608355242,6500
yolov8m-pose,v8,m,mixed,right_ear,head,0.994715153003827,6500
yolov8m-pose,v8,m,mixed,left_shoulder,trunk,0.9979839476599296,6500
yolov8m-pose,v8,m,mixed,right_shoulder,trunk,0.9980497074627865,6500
yolov8m-pose,v8,m,mixed,left_hip,trunk,0.9980118999466593,6500
yolov8m-pose,v8,m,mixed,right_hip,trunk,0.997917527671392,6500
yolov8m-pose,v8,m,mixed,left_elbow,mid-limb,0.9962396051148344,6500
yolov8m-pose,v8,m,mixed,right_elbow,mid-limb,0.9969194819860911,6500
yolov8m-pose,v8,m,mixed,left_knee,mid-limb,0.9966099403348704,6500
yolov8m-pose,v8,m,mixed,right_knee,mid-limb,0.9963309152643782,6500
yolov8m-pose,v8,m,mixed,left_wrist,extremity,0.9955743899425824,6500
yolov8m-pose,v8,m,mixed,right_wrist,extremity,0.996065013810674,6500
yolov8m-pose,v8,m,mixed,left_ankle,extremity,0.9949114524231956,6500
yolov8m-pose,v8,m,mixed,right_ankle,extremity,0.9938871934739472,6500
yolov8l-pose,v8,l,full,nose,head,0.9516558110222546,6500
yolov8l-pose,v8,l,full,left_eye,head,0.9678440161692331,6500
yolov8l-pose,v8,l,full,right_eye,head,0.9651034620559983,6500
yolov8l-pose,v8,l,full,left_ear,head,0.975980808873508,6500
yolov8l-pose,v8,l,full,right_ear,head,0.9806517534648419,6500
yolov8l-pose,v8,l,full,left_shoulder,trunk,0.9945276519084938,6500
yolov8l-pose,v8,l,full,right_shoulder,trunk,0.9946103083932254,6500
yolov8l-pose,v8,l,full,left_hip,trunk,0.9907383956651665,6500
yolov8l-pose,v8,l,full,right_hip,trunk,0.9911936359503504,6500
yolov8l-pose,v8,l,full,left_elbow,mid-limb,0.9937927965198033,6500
yolov8l-pose,v8,l,full,right_elbow,mid-limb,0.9873521674619027,6500
yolov8l-pose,v8,l,full,left_knee,mid-limb,0.9838777855244351,6500
yolov8l-pose,v8,l,full,right_knee,mid-limb,0.9932475601628532,6500
yolov8l-pose,v8,l,full,left_wrist,extremity,0.9871841312083229,6500
yolov8l-pose,v8,l,full,right_wrist,extremity,0.9762268470201009,6500
yolov8l-pose,v8,l,full,left_ankle,extremity,0.9923329113649569,6500
yolov8l-pose,v8,l,full,right_ankle,extremity,0.9925220355664318,6500
yolov8l-pose,v8,l,mixed,nose,head,0.9847638533294439,6500
yolov8l-pose,v8,l,mixed,left_eye,head,0.9878785154664487,6500
yolov8l-pose,v8,l,mixed,right_eye,head,0.9875742720884529,6500
yolov8l-pose,v8,l,mixed,left_ear,head,0.9956593709170122,6500
yolov8l-pose,v8,l,mixed,right_ear,head,0.9954577895253053,6500
yolov8l-pose,v8,l,mixed,left_shoulder,trunk,0.9983009175559059,6500
yolov8l-pose,v8,l,mixed,right_shoulder,trunk,0.998555828455576,6500
yolov8l-pose,v8,l,mixed,left_hip,trunk,0.9985561344408094,6500
yolov8l-pose,v8,l,mixed,right_hip,trunk,0.9986200171587124,6500
yolov8l-pose,v8,l,mixed,left_elbow,mid-limb,0.9978073792417953,6500
yolov8l-pose,v8,l,mixed,right_elbow,mid-limb,0.9969941391235226,6500
yolov8l-pose,v8,l,mixed,left_knee,mid-limb,0.9976832103142044,6500
yolov8l-pose,v8,l,mixed,right_knee,mid-limb,0.9977099740091747,6500
yolov8l-pose,v8,l,mixed,left_wrist,extremity,0.996633738321805,6500
yolov8l-pose,v8,l,mixed,right_wrist,extremity,0.9959664254183449,6500
yolov8l-pose,v8,l,mixed,left_ankle,extremity,0.9971200037668129,6500
yolov8l-pose,v8,l,mixed,right_ankle,extremity,0.996924529078342,6500
yolo11n-pose,v11,n,full,nose,head,0.9012429517220392,6500
yolo11n-pose,v11,n,full,left_eye,head,0.902942492158675,6500
yolo11n-pose,v11,n,full,right_eye,head,0.8930974172788224,6500
yolo11n-pose,v11,n,full,left_ear,head,0.9351764584690734,6500
yolo11n-pose,v11,n,full,right_ear,head,0.9411671021732142,6500
yolo11n-pose,v11,n,full,left_shoulder,trunk,0.9835744667024169,6500
yolo11n-pose,v11,n,full,right_shoulder,trunk,0.9799260457403788,6500
yolo11n-pose,v11,n,full,left_hip,trunk,0.9873551757348058,6500
yolo11n-pose,v11,n,full,right_hip,trunk,0.9876441755514469,6500
yolo11n-pose,v11,n,full,left_elbow,mid-limb,0.9663295619185651,6500
yolo11n-pose,v11,n,full,right_elbow,mid-limb,0.9568328672195846,6500
yolo11n-pose,v11,n,full,left_knee,mid-limb,0.9824027809924898,6500
yolo11n-pose,v11,n,full,right_knee,mid-limb,0.9799181878677278,6500
yolo11n-pose,v11,n,full,left_wrist,extremity,0.9311457413941655,6500
yolo11n-pose,v11,n,full,right_wrist,extremity,0.9398912094709863,6500
yolo11n-pose,v11,n,full,left_ankle,extremity,0.9728613045105816,6500
yolo11n-pose,v11,n,full,right_ankle,extremity,0.9716989044499434,6500
yolo11n-pose,v11,n,mixed,nose,head,0.980996917939913,6500
yolo11n-pose,v11,n,mixed,left_eye,head,0.9829637130033958,6500
yolo11n-pose,v11,n,mixed,right_eye,head,0.980868184946852,6500
yolo11n-pose,v11,n,mixed,left_ear,head,0.9919688341754523,6500
yolo11n-pose,v11,n,mixed,right_ear,head,0.990932682251243,6500
yolo11n-pose,v11,n,mixed,left_shoulder,trunk,0.997350852930781,6500
yolo11n-pose,v11,n,mixed,right_shoulder,trunk,0.9959612601124845,6500
yolo11n-pose,v11,n,mixed,left_hip,trunk,0.9981227614788569,6500
yolo11n-pose,v11,n,mixed,right_hip,trunk,0.9982340243398043,6500
yolo11n-pose,v11,n,mixed,left_elbow,mid-limb,0.993362829856733,6500
yolo11n-pose,v11,n,mixed,right_elbow,mid-limb,0.9913940151541213,6500
yolo11n-pose,v11,n,mixed,left_knee,mid-limb,0.9950308661587479,6500
yolo11n-pose,v11,n,mixed,right_knee,mid-limb,0.9921748634995005,6500
yolo11n-pose,v11,n,mixed,left_wrist,extremity,0.9877292355668028,6500
yolo11n-pose,v11,n,mixed,right_wrist,extremity,0.9880290222337181,6500
yolo11n-pose,v11,n,mixed,left_ankle,extremity,0.9930023271380337,6500
yolo11n-pose,v11,n,mixed,right_ankle,extremity,0.9909413174077101,6500
yolo11s-pose,v11,s,full,nose,head,0.9073716097995865,6500
yolo11s-pose,v11,s,full,left_eye,head,0.8949281889728752,6500
yolo11s-pose,v11,s,full,right_eye,head,0.899701296286548,6500
yolo11s-pose,v11,s,full,left_ear,head,0.9237621207036606,6500
yolo11s-pose,v11,s,full,right_ear,head,0.9143366371719929,6500
yolo11s-pose,v11,s,full,left_shoulder,trunk,0.9821689440367394,6500
yolo11s-pose,v11,s,full,right_shoulder,trunk,0.9860676017659021,6500
yolo11s-pose,v11,s,full,left_hip,trunk,0.985251886158488,6500
yolo11s-pose,v11,s,full,right_hip,trunk,0.9889263159857553,6500
yolo11s-pose,v11,s,full,left_elbow,mid-limb,0.9692571881018454,6500
yolo11s-pose,v11,s,full,right_elbow,mid-limb,0.9674866229198759,6500
yolo11s-pose,v11,s,full,left_knee,mid-limb,0.9827692652142644,6500
yolo11s-pose,v11,s,full,right_knee,mid-limb,0.9785464967872113,6500
yolo11s-pose,v11,s,full,left_wrist,extremity,0.9427844492250455,6500
yolo11s-pose,v11,s,full,right_wrist,extremity,0.9472005251878437,6500
yolo11s-pose,v11,s,full,left_ankle,extremity,0.9752141661459286,6500
yolo11s-pose,v11,s,full,right_ankle,extremity,0.975708027864658,6500
yolo11s-pose,v11,s,mixed,nose,head,0.9833601095136343,6500
yolo11s-pose,v11,s,mixed,left_eye,head,0.9840848655839709,6500
yolo11s-pose,v11,s,mixed,right_eye,head,0.9848610494031206,6500
yolo11s-pose,v11,s,mixed,left_ear,head,0.9904915111705284,6500
yolo11s-pose,v11,s,mixed,right_ear,head,0.991181937416918,6500
yolo11s-pose,v11,s,mixed,left_shoulder,trunk,0.9961891713865396,6500
yolo11s-pose,v11,s,mixed,right_shoulder,trunk,0.9964404250225973,6500
yolo11s-pose,v11,s,mixed,left_hip,trunk,0.9971717957561075,6500
yolo11s-pose,v11,s,mixed,right_hip,trunk,0.9973183997940183,6500
yolo11s-pose,v11,s,mixed,left_elbow,mid-limb,0.9949822263422267,6500
yolo11s-pose,v11,s,mixed,right_elbow,mid-limb,0.9947270261570369,6500
yolo11s-pose,v11,s,mixed,left_knee,mid-limb,0.9947526285249115,6500
yolo11s-pose,v11,s,mixed,right_knee,mid-limb,0.9950355164459639,6500
yolo11s-pose,v11,s,mixed,left_wrist,extremity,0.9927115859544892,6500
yolo11s-pose,v11,s,mixed,right_wrist,extremity,0.989905407017732,6500
yolo11s-pose,v11,s,mixed,left_ankle,extremity,0.9918043382991875,6500
yolo11s-pose,v11,s,mixed,right_ankle,extremity,0.9905230569805916,6500
yolo11m-pose,v11,m,full,nose,head,0.9534855125815284,6500
yolo11m-pose,v11,m,full,left_eye,head,0.9527163792408354,6500
yolo11m-pose,v11,m,full,right_eye,head,0.9541636787537241,6500
yolo11m-pose,v11,m,full,left_ear,head,0.9709448302160691,6500
yolo11m-pose,v11,m,full,right_ear,head,0.9719922473799688,6500
yolo11m-pose,v11,m,full,left_shoulder,trunk,0.9914073617208087,6500
yolo11m-pose,v11,m,full,right_shoulder,trunk,0.9946438086825008,6500
yolo11m-pose,v11,m,full,left_hip,trunk,0.9925730545586768,6500
yolo11m-pose,v11,m,full,right_hip,trunk,0.9925180121659417,6500
yolo11m-pose,v11,m,full,left_elbow,mid-limb,0.9883897393370371,6500
yolo11m-pose,v11,m,full,right_elbow,mid-limb,0.9865392998883843,6500
yolo11m-pose,v11,m,full,left_knee,mid-limb,0.9895102988262734,6500
yolo11m-pose,v11,m,full,right_knee,mid-limb,0.9895616645796026,6500
yolo11m-pose,v11,m,full,left_wrist,extremity,0.9654020372972424,6500
yolo11m-pose,v11,m,full,right_wrist,extremity,0.9676545262074064,6500
yolo11m-pose,v11,m,full,left_ankle,extremity,0.9720687232190478,6500
yolo11m-pose,v11,m,full,right_ankle,extremity,0.9889934775754304,6500
yolo11m-pose,v11,m,mixed,nose,head,0.9912730256101847,6500
yolo11m-pose,v11,m,mixed,left_eye,head,0.992309400224333,6500
yolo11m-pose,v11,m,mixed,right_eye,head,0.9916230726757926,6500
yolo11m-pose,v11,m,mixed,left_ear,head,0.9947925589394543,6500
yolo11m-pose,v11,m,mixed,right_ear,head,0.9939751795932359,6500
yolo11m-pose,v11,m,mixed,left_shoulder,trunk,0.9980411736468888,6500
yolo11m-pose,v11,m,mixed,right_shoulder,trunk,0.9980096520402166,6500
yolo11m-pose,v11,m,mixed,left_hip,trunk,0.9977431718726643,6500
yolo11m-pose,v11,m,mixed,right_hip,trunk,0.9975342831496852,6500
yolo11m-pose,v11,m,mixed,left_elbow,mid-limb,0.9964122607546865,6500
yolo11m-pose,v11,m,mixed,right_elbow,mid-limb,0.9966151141575467,6500
yolo11m-pose,v11,m,mixed,left_knee,mid-limb,0.9959950558129219,6500
yolo11m-pose,v11,m,mixed,right_knee,mid-limb,0.9958681049173327,6500
yolo11m-pose,v11,m,mixed,left_wrist,extremity,0.995079088242891,6500
yolo11m-pose,v11,m,mixed,right_wrist,extremity,0.9959687752115682,6500
yolo11m-pose,v11,m,mixed,left_ankle,extremity,0.9955253181029857,6500
yolo11m-pose,v11,m,mixed,right_ankle,extremity,0.9951413846376378,6500
yolo11l-pose,v11,l,full,nose,head,0.9560331642541283,6500
yolo11l-pose,v11,l,full,left_eye,head,0.958601936707826,6500
yolo11l-pose,v11,l,full,right_eye,head,0.9600820210625869,6500
yolo11l-pose,v11,l,full,left_ear,head,0.9778594930007738,6500
yolo11l-pose,v11,l,full,right_ear,head,0.9784298530509483,6500
yolo11l-pose,v11,l,full,left_shoulder,trunk,0.9924703057867529,6500
yolo11l-pose,v11,l,full,right_shoulder,trunk,0.9927586693634342,6500
yolo11l-pose,v11,l,full,left_hip,trunk,0.9931258844122315,6500
yolo11l-pose,v11,l,full,right_hip,trunk,0.9954991255476869,6500
yolo11l-pose,v11,l,full,left_elbow,mid-limb,0.9817210817229125,6500
yolo11l-pose,v11,l,full,right_elbow,mid-limb,0.9783534306845286,6500
yolo11l-pose,v11,l,full,left_knee,mid-limb,0.9855098956780987,6500
yolo11l-pose,v11,l,full,right_knee,mid-limb,0.9930489538455415,6500
yolo11l-pose,v11,l,full,left_wrist,extremity,0.9869750771720213,6500
yolo11l-pose,v11,l,full,right_wrist,extremity,0.9884932530380697,6500
yolo11l-pose,v11,l,full,left_ankle,extremity,0.9878915936925239,6500
yolo11l-pose,v11,l,full,right_ankle,extremity,0.9858529347973851,6500
yolo11l-pose,v11,l,mixed,nose,head,0.9912999094925351,6500
yolo11l-pose,v11,l,mixed,left_eye,head,0.991878340676622,6500
yolo11l-pose,v11,l,mixed,right_eye,head,0.9923754854095591,6500
yolo11l-pose,v11,l,mixed,left_ear,head,0.9937553035580098,6500
yolo11l-pose,v11,l,mixed,right_ear,head,0.9943037095157945,6500
yolo11l-pose,v11,l,mixed,left_shoulder,trunk,0.9976799319908374,6500
yolo11l-pose,v11,l,mixed,right_shoulder,trunk,0.9975752588582136,6500
yolo11l-pose,v11,l,mixed,left_hip,trunk,0.997717619120675,6500
yolo11l-pose,v11,l,mixed,right_hip,trunk,0.9980252928736086,6500
yolo11l-pose,v11,l,mixed,left_elbow,mid-limb,0.997541599085113,6500
yolo11l-pose,v11,l,mixed,right_elbow,mid-limb,0.9976150865309698,6500
yolo11l-pose,v11,l,mixed,left_knee,mid-limb,0.9976741047960094,6500
yolo11l-pose,v11,l,mixed,right_knee,mid-limb,0.9970802855127888,6500
yolo11l-pose,v11,l,mixed,left_wrist,extremity,0.9952421545764211,6500
yolo11l-pose,v11,l,mixed,right_wrist,extremity,0.9963520267315525,6500
yolo11l-pose,v11,l,mixed,left_ankle,extremity,0.9960887331379734,6500
yolo11l-pose,v11,l,mixed,right_ankle,extremity,0.9961409522379306,6500
yolo26n-pose,v26,n,full,nose,head,0.8187880835343472,6417
yolo26n-pose,v26,n,full,left_eye,head,0.8065727984395527,6417
yolo26n-pose,v26,n,full,right_eye,head,0.7976856736561959,6417
yolo26n-pose,v26,n,full,left_ear,head,0.8531118894419492,6417
yolo26n-pose,v26,n,full,right_ear,head,0.8488974664431449,6417
yolo26n-pose,v26,n,full,left_shoulder,trunk,0.9395950593567454,6417
yolo26n-pose,v26,n,full,right_shoulder,trunk,0.9607238347462916,6417
yolo26n-pose,v26,n,full,left_hip,trunk,0.970483400446277,6417
yolo26n-pose,v26,n,full,right_hip,trunk,0.9797717996455277,6417
yolo26n-pose,v26,n,full,left_elbow,mid-limb,0.8823012255823272,6417
yolo26n-pose,v26,n,full,right_elbow,mid-limb,0.9337914739454268,6417
yolo26n-pose,v26,n,full,left_knee,mid-limb,0.8874305623920025,6417
yolo26n-pose,v26,n,full,right_knee,mid-limb,0.9385725758044288,6417
yolo26n-pose,v26,n,full,left_wrist,extremity,0.8028720971190542,6417
yolo26n-pose,v26,n,full,right_wrist,extremity,0.8243809693722423,6417
yolo26n-pose,v26,n,full,left_ankle,extremity,0.8979912931187146,6417
yolo26n-pose,v26,n,full,right_ankle,extremity,0.9265334600606391,6417
yolo26n-pose,v26,n,mixed,nose,head,0.972336647785332,6485
yolo26n-pose,v26,n,mixed,left_eye,head,0.9723574078403575,6485
yolo26n-pose,v26,n,mixed,right_eye,head,0.9725577470945069,6485
yolo26n-pose,v26,n,mixed,left_ear,head,0.9837037133114217,6485
yolo26n-pose,v26,n,mixed,right_ear,head,0.9856059220746823,6485
yolo26n-pose,v26,n,mixed,left_shoulder,trunk,0.9962255235737131,6485
yolo26n-pose,v26,n,mixed,right_shoulder,trunk,0.9959544155906719,6485
yolo26n-pose,v26,n,mixed,left_hip,trunk,0.9968079175378289,6485
yolo26n-pose,v26,n,mixed,right_hip,trunk,0.997281696091486,6485
yolo26n-pose,v26,n,mixed,left_elbow,mid-limb,0.9890281831058936,6485
yolo26n-pose,v26,n,mixed,right_elbow,mid-limb,0.9884486770508903,6485
yolo26n-pose,v26,n,mixed,left_knee,mid-limb,0.9904958491738795,6485
yolo26n-pose,v26,n,mixed,right_knee,mid-limb,0.9919574443023986,6485
yolo26n-pose,v26,n,mixed,left_wrist,extremity,0.9748777430248552,6485
yolo26n-pose,v26,n,mixed,right_wrist,extremity,0.9772412489634056,6485
yolo26n-pose,v26,n,mixed,left_ankle,extremity,0.9860976505679317,6485
yolo26n-pose,v26,n,mixed,right_ankle,extremity,0.9867404482274763,6485
yolo26s-pose,v26,s,full,nose,head,0.9725717690866253,6499
yolo26s-pose,v26,s,full,left_eye,head,0.9723997167455845,6499
yolo26s-pose,v26,s,full,right_eye,head,0.9662329779559018,6499
yolo26s-pose,v26,s,full,left_ear,head,0.9829306635577242,6499
yolo26s-pose,v26,s,full,right_ear,head,0.9669087528787944,6499
yolo26s-pose,v26,s,full,left_shoulder,trunk,0.9935134874651874,6499
yolo26s-pose,v26,s,full,right_shoulder,trunk,0.9909926329588368,6499
yolo26s-pose,v26,s,full,left_hip,trunk,0.9922842346960351,6499
yolo26s-pose,v26,s,full,right_hip,trunk,0.9878341231394245,6499
yolo26s-pose,v26,s,full,left_elbow,mid-limb,0.9896241938722623,6499
yolo26s-pose,v26,s,full,right_elbow,mid-limb,0.9900503266431696,6499
yolo26s-pose,v26,s,full,left_knee,mid-limb,0.9934506080069058,6499
yolo26s-pose,v26,s,full,right_knee,mid-limb,0.9930482624397491,6499
yolo26s-pose,v26,s,full,left_wrist,extremity,0.9869129557267194,6499
yolo26s-pose,v26,s,full,right_wrist,extremity,0.9867167251437035,6499
yolo26s-pose,v26,s,full,left_ankle,extremity,0.9898543457631843,6499
yolo26s-pose,v26,s,full,right_ankle,extremity,0.9913170591273978,6499
yolo26s-pose,v26,s,mixed,nose,head,0.9915866638200392,6500
yolo26s-pose,v26,s,mixed,left_eye,head,0.9928119482932101,6500
yolo26s-pose,v26,s,mixed,right_eye,head,0.9923794772867365,6500
yolo26s-pose,v26,s,mixed,left_ear,head,0.9966154469555639,6500
yolo26s-pose,v26,s,mixed,right_ear,head,0.9967355328557818,6500
yolo26s-pose,v26,s,mixed,left_shoulder,trunk,0.9987592031911813,6500
yolo26s-pose,v26,s,mixed,right_shoulder,trunk,0.998640786261247,6500
yolo26s-pose,v26,s,mixed,left_hip,trunk,0.998982884036636,6500
yolo26s-pose,v26,s,mixed,right_hip,trunk,0.9989202103501068,6500
yolo26s-pose,v26,s,mixed,left_elbow,mid-limb,0.9976790256295877,6500
