model,arch,tier,quant,keypoint,group,mean_OKS,n_images
yolov8n-pose,v8,n,full,nose,head,0.907548265426154,6500
yolov8n-pose,v8,n,full,left_eye,head,0.9026900800267056,6500
yolov8n-pose,v8,n,full,right_eye,head,0.898567113447414,6500
yolov8n-pose,v8,n,full,left_ear,head,0.9294866003312087,6500
yolov8n-pose,v8,n,full,right_ear,head,0.9230768426224781,6500
yolov8n-pose,v8,n,full,left_shoulder,trunk,0.9864387672035521,6500
yolov8n-pose,v8,n,full,right_shoulder,trunk,0.9864477710392767,6500
yolov8n-pose,v8,n,full,left_hip,trunk,0.9913733804256458,6500
yolov8n-pose,v8,n,full,right_hip,trunk,0.9909345600069026,6500
yolov8n-pose,v8,n,full,left_elbow,mid-limb,0.9640224517870829,6500
yolov8n-pose,v8,n,full,right_elbow,mid-limb,0.9670104509263605,6500
yolov8n-pose,v8,n,full,left_knee,mid-limb,0.9836353993766633,6500
yolov8n-pose,v8,n,full,right_knee,mid-limb,0.9816727235333584,6500
yolov8n-pose,v8,n,full,left_wrist,extremity,0.9398795911819703,6500
yolov8n-pose,v8,n,full,right_wrist,extremity,0.9398630096102063,6500
yolov8n-pose,v8,n,full,left_ankle,extremity,0.9744633404174423,6500
yolov8n-pose,v8,n,full,right_ankle,extremity,0.9705617616214358,6500
yolov8n-pose,v8,n,mixed,nose,head,0.9762097418127561,6500
yolov8n-pose,v8,n,mixed,left_eye,head,0.9752172286567523,6500
yolov8n-pose,v8,n,mixed,right_eye,head,0.9762626254533066,6500
yolov8n-pose,v8,n,mixed,left_ear,head,0.9830442280245977,6500
yolov8n-pose,v8,n,mixed,right_ear,head,0.9838022552432348,6500
yolov8n-pose,v8,n,mixed,left_shoulder,trunk,0.9957639235143384,6500
yolov8n-pose,v8,n,mixed,right_shoulder,trunk,0.9957051750608102,6500
yolov8n-pose,v8,n,mixed,left_hip,trunk,0.9965193743200724,6500
yolov8n-pose,v8,n,mixed,right_hip,trunk,0.9963754683524187,6500
yolov8n-pose,v8,n,mixed,left_elbow,mid-limb,0.9868666038176196,6500
yolov8n-pose,v8,n,mixed,right_elbow,mid-limb,0.9826426272219788,6500
yolov8n-pose,v8,n,mixed,left_knee,mid-limb,0.9940549321079303,6500
yolov8n-pose,v8,n,mixed,right_knee,mid-limb,0.9922757930337245,6500
yolov8n-pose,v8,n,mixed,left_wrist,extremity,0.9614110834826407,6500
yolov8n-pose,v8,n,mixed,right_wrist,extremity,0.9653068632909767,6500
yolov8n-pose,v8,n,mixed,left_ankle,extremity,0.9884925261919848,6500
yolov8n-pose,v8,n,mixed,right_ankle,extremity,0.9872233138094287,6500
yolov8s-pose,v8,s,full,nose,head,0.8768656158946292,6500
yolov8s-pose,v8,s,full,left_eye,head,0.8718703656548527,6500
yolov8s-pose,v8,s,full,right_eye,head,0.8674915512468754,6500
yolov8s-pose,v8,s,full,left_ear,head,0.9129080229263653,6500
yolov8s-pose,v8,s,full,right_ear,head,0.9137029722918364,6500
yolov8s-pose,v8,s,full,left_shoulder,trunk,0.9814122340743479,6500
yolov8s-pose,v8,s,full,right_shoulder,trunk,0.9851812948809064,6500
yolov8s-pose,v8,s,full,left_hip,trunk,0.9900727526940051,6500
yolov8s-pose,v8,s,full,right_hip,trunk,0.9899465331285132,6500
yolov8s-pose,v8,s,full,left_elbow,mid-limb,0.9717680746800178,6500
yolov8s-pose,v8,s,full,right_elbow,mid-limb,0.975474504354924,6500
yolov8s-pose,v8,s,full,left_knee,mid-limb,0.9700365895234259,6500
yolov8s-pose,v8,s,full,right_knee,mid-limb,0.9777049247879204,6500
yolov8s-pose,v8,s,full,left_wrist,extremity,0.946772283974634,6500
yolov8s-pose,v8,s,full,right_wrist,extremity,0.9485376344505709,6500
yolov8s-pose,v8,s,full,left_ankle,extremity,0.9674701536170132,6500
yolov8s-pose,v8,s,full,right_ankle,extremity,0.9765176242423516,6500
yolov8s-pose,v8,s,mixed,nose,head,0.9882752842947701,6500
yolov8s-pose,v8,s,mixed,left_eye,head,0.9878727184199072,6500
yolov8s-pose,v8,s,mixed,right_eye,head,0.9891748130646466,6500
yolov8s-pose,v8,s,mixed,left_ear,head,0.9915093794877241,6500
yolov8s-pose,v8,s,mixed,right_ear,head,0.990735806493001,6500
yolov8s-pose,v8,s,mixed,left_shoulder,trunk,0.9972236626498724,6500
yolov8s-pose,v8,s,mixed,right_shoulder,trunk,0.9972423667425908,6500
yolov8s-pose,v8,s,mixed,left_hip,trunk,0.9973303591240863,6500
yolov8s-pose,v8,s,mixed,right_hip,trunk,0.9973976987309483,6500
yolov8s-pose,v8,s,mixed,left_elbow,mid-limb,0.9944088793753991,6500
yolov8s-pose,v8,s,mixed,right_elbow,mid-limb,0.9927491795200777,6500
yolov8s-pose,v8,s,mixed,left_knee,mid-limb,0.9944894776223724,6500
yolov8s-pose,v8,s,mixed,right_knee,mid-limb,0.9942811921571943,6500
yolov8s-pose,v8,s,mixed,left_wrist,extremity,0.9882728528821613,6500
yolov8s-pose,v8,s,mixed,right_wrist,extremity,0.9855400007041006,6500
yolov8s-pose,v8,s,mixed,left_ankle,extremity,0.9932223777463957,6500
yolov8s-pose,v8,s,mixed,right_ankle,extremity,0.9926177446217689,6500
yolov8m-pose,v8,m,full,nose,head,0.8999494845503881,6500
yolov8m-pose,v8,m,full,left_eye,head,0.8819704635542593,6500
yolov8m-pose,v8,m,full,right_eye,head,0.8669777117136002,6500
yolov8m-pose,v8,m,full,left_ear,head,0.9369702677468377,6500
yolov8m-pose,v8,m,full,right_ear,head,0.9316761698273978,6500
yolov8m-pose,v8,m,full,left_shoulder,trunk,0.9857137603720043,6500
yolov8m-pose,v8,m,full,right_shoulder,trunk,0.9847235327599119,6500
yolov8m-pose,v8,m,full,left_hip,trunk,0.9894980153438772,6500
yolov8m-pose,v8,m,full,right_hip,trunk,0.9906913704412588,6500
yolov8m-pose,v8,m,full,left_elbow,mid-limb,0.9679593589332678,6500
yolov8m-pose,v8,m,full,right_elbow,mid-limb,0.9785837513330755,6500
yolov8m-pose,v8,m,full,left_knee,mid-limb,0.9831234648310415,6500
yolov8m-pose,v8,m,full,right_knee,mid-limb,0.9839744835570612,6500
yolov8m-pose,v8,m,full,left_wrist,extremity,0.952156242021576,6500
yolov8m-pose,v8,m,full,right_wrist,extremity,0.9521386061927273,6500
yolov8m-pose,v8,m,full,left_ankle,extremity,0.9717294024159674,6500
yolov8m-pose,v8,m,full,right_ankle,extremity,0.9727604738164244,6500
yolov8m-pose,v8,m,mixed,nose,head,0.9882594159791936,6500
yolov8m-pose,v8,m,mixed,left_eye,head,0.988983064806242,6500
yolov8m-pose,v8,m,mixed,right_eye,head,0.9887225890222696,6500
yolov8m-pose,v8,m,mixed,left_ear,head,0.9929627877424826,6500
yolov8m-pose,v8,m,mixed,right_ear,head,0.993062781689702,6500
yolov8m-pose,v8,m,mixed,left_shoulder,trunk,0.9964686838764307,6500
yolov8m-pose,v8,m,mixed,right_shoulder,trunk,0.9963654221153133,6500
yolov8m-pose,v8,m,mixed,left_hip,trunk,0.9966657111696516,6500
yolov8m-pose,v8,m,mixed,right_hip,trunk,0.9971120957409099,6500
yolov8m-pose,v8,m,mixed,left_elbow,mid-limb,0.9902776585140731,6500
yolov8m-pose,v8,m,mixed,right_elbow,mid-limb,0.988370819855729,6500
yolov8m-pose,v8,m,mixed,left_knee,mid-limb,0.9946204952993143,6500
yolov8m-pose,v8,m,mixed,right_knee,mid-limb,0.9947607311292096,6500
yolov8m-pose,v8,m,mixed,left_wrist,extremity,0.9893771220050815,6500
yolov8m-pose,v8,m,mixed,right_wrist,extremity,0.9894090023482498,6500
yolov8m-pose,v8,m,mixed,left_ankle,extremity,0.9887650458787814,6500
yolov8m-pose,v8,m,mixed,right_ankle,extremity,0.9891770305443105,6500
yolov8l-pose,v8,l,full,nose,head,0.9546510585503386,6500
yolov8l-pose,v8,l,full,left_eye,head,0.9637362162314622,6500
yolov8l-pose,v8,l,full,right_eye,head,0.9622368839022407,6500
yolov8l-pose,v8,l,full,left_ear,head,0.9704910120193256,6500
yolov8l-pose,v8,l,full,right_ear,head,0.9820922071626238,6500
yolov8l-pose,v8,l,full,left_shoulder,trunk,0.9944019796978785,6500
yolov8l-pose,v8,l,full,right_shoulder,trunk,0.9932061271497252,6500
yolov8l-pose,v8,l,full,left_hip,trunk,0.9894568623772922,6500
yolov8l-pose,v8,l,full,right_hip,trunk,0.9894912381134491,6500
yolov8l-pose,v8,l,full,left_elbow,mid-limb,0.9907171173618341,6500
