model,arch,tier,variant,miss_raw,miss_corrected,n
yolov8n-pose,v8,n,fp32,0.13292307692307692,0.02969230769230769,19500
yolov8n-pose,v8,n,fp16,0.1317948717948718,0.030820512820512822,19500
yolov8n-pose,v8,n,int8_mixed,0.15738461538461537,0.03174358974358974,19500
yolov8s-pose,v8,s,fp32,0.18876923076923077,0.037794871794871794,19500
yolov8s-pose,v8,s,fp16,0.18923076923076923,0.03758974358974359,19500
yolov8s-pose,v8,s,int8_mixed,0.1998974358974359,0.03487179487179487,19500
yolov8m-pose,v8,m,fp32,0.11328205128205128,0.048358974358974356,19500
yolov8m-pose,v8,m,fp16,0.1141025641025641,0.04923076923076923,19500
yolov8m-pose,v8,m,int8_mixed,0.09748717948717948,0.043897435897435895,19500
yolov8l-pose,v8,l,fp32,0.15835897435897436,0.04425641025641026,19500
yolov8l-pose,v8,l,fp16,0.15805128205128205,0.04441025641025641,19500
yolov8l-pose,v8,l,int8_mixed,0.16338461538461538,0.04297435897435897,19500
yolo11n-pose,v11,n,fp32,0.06769230769230769,0.035487179487179485,19500
yolo11n-pose,v11,n,fp16,0.06825641025641026,0.036153846153846154,19500
yolo11n-pose,v11,n,int8_mixed,0.04297435897435897,0.03841025641025641,19500
yolo11s-pose,v11,s,fp32,0.15435897435897436,0.04723076923076923,19500
yolo11s-pose,v11,s,fp16,0.1544102564102564,0.04805128205128205,19500
yolo11s-pose,v11,s,int8_mixed,0.15005128205128204,0.047846153846153844,19500
yolo11m-pose,v11,m,fp32,0.10651282051282052,0.03964102564102564,19500
yolo11m-pose,v11,m,fp16,0.10743589743589743,0.039282051282051283,19500
yolo11m-pose,v11,m,int8_mixed,0.09676923076923077,0.04343589743589744,19500
yolo11l-pose,v11,l,fp32,0.06102564102564102,0.038205128205128204,19500
yolo11l-pose,v11,l,fp16,0.060564102564102565,0.03635897435897436,19500
yolo11l-pose,v11,l,int8_mixed,0.05056410256410256,0.031538461538461536,19500
yolo26n-pose,v26,n,fp32,0.09313901575409247,0.047672807512700775,19487
yolo26n-pose,v26,n,fp16,0.09411402473443835,0.04787807256119464,19487
yolo26n-pose,v26,n,int8_mixed,0.11207564718648272,0.051464889164470624,19353
yolo26s-pose,v26,s,fp32,0.05449491240952481,0.04070072380153152,19066
yolo26s-pose,v26,s,fp16,0.05455880809988459,0.04112894764452838,19062
yolo26s-pose,v26,s,int8_mixed,0.04039330321551953,0.04119053946319426,18815
yolo26m-pose,v26,m,fp32,0.024527914614121512,0.028376436781609195,19488
yolo26m-pose,v26,m,fp16,0.024633069896335832,0.029149132710664067,19486
yolo26m-pose,v26,m,int8_mixed,0.06527226830147854,0.024625212508371543,19411
yolo26l-pose,v26,l,fp32,0.10521186005950549,0.06268595465271365,19494
yolo26l-pose,v26,l,fp16,0.10495537088334872,0.06335282651072124,19494
yolo26l-pose,v26,l,int8_mixed,0.06690413504723555,0.06416808631459398,19371
